"Element","h_index","g_index","m_index","TC","NP","PY_start"
"AALLAEI M","1","1","0.500","3","1","2020"
"AAMINOU MW","1","1","0.200","5","1","2017"
"AARON E","1","1","0.048","33","1","2001"
"AASS AM","2","2","0.222","31","2","2013"
"ABAD JL","1","1","0.056","19","1","2004"
"ABAD R","1","1","0.125","7","1","2014"
"ABAID N","2","2","0.200","42","2","2012"
"ABANDANSARI RM","1","1","0.250","2","1","2018"
"ABBADIE L","1","1","0.048","42","1","2001"
"ABBAS SMA","1","1","0.111","7","1","2013"
"ABBASI A","1","1","0.200","2","1","2017"
"ABBASI MA","1","1","0.333","3","1","2019"
"ABBASI S","1","1","0.200","2","1","2017"
"ABBASI Y","1","1","0.200","16","1","2017"
"ABBASI-SHIRSAVAR M","1","1","0.333","18","1","2019"
"ABBASSY MA","1","1","0.167","4","1","2016"
"ABBES B","1","1","0.200","4","1","2017"
"ABBES F","1","1","0.200","4","1","2017"
"ABBES S","1","1","0.063","119","1","2006"
"ABBEY A","2","2","0.500","17","2","2018"
