"Author","year","freq","TC","TCpY"
"CHEN G","2009","1","132","10.154"
"CHEN G","2010","1","203","16.917"
"CHEN G","2012","3","135","13.500"
"CHEN G","2015","2","235","33.571"
"CHEN G","2016","4","67","11.167"
"CHEN G","2017","4","43","8.600"
"CHEN G","2018","1","13","3.250"
"CHEN G","2019","1","0","0.000"
"CHEN G","2020","2","8","4.000"
"CHEN G","2021","2","6","6.000"
"CROKIDAKIS N","2012","3","95","9.500"
"CROKIDAKIS N","2014","2","25","3.125"
"CROKIDAKIS N","2015","1","18","2.571"
"CROKIDAKIS N","2016","1","6","1.000"
"CROKIDAKIS N","2017","1","10","2.000"
"CROKIDAKIS N","2018","2","12","3.000"
"CROKIDAKIS N","2019","1","1","0.333"
"HUI PM","2002","1","10","0.500"
"HUI PM","2006","1","5","0.313"
"HUI PM","2009","1","6","0.462"
