"Country","Total Citations","Average Article Citations"
"USA","49267","40.12"
"CHINA","15055","14.24"
"UNITED KINGDOM","7221","22.02"
"GERMANY","6689","21.23"
"ITALY","3762","15.23"
"FRANCE","3198","17.38"
"CANADA","2993","21.08"
"AUSTRALIA","2798","23.12"
"SPAIN","2436","14.76"
"NETHERLANDS","1984","16.53"
"JAPAN","1948","11.81"
"INDIA","1533","10.43"
"BRAZIL","1485","9.46"
"SWITZERLAND","1335","23.84"
"IRAN","1250","10.50"
"SINGAPORE","996","24.90"
"ARGENTINA","948","21.07"
"KOREA","889","9.26"
"TURKEY","691","7.94"
"BELGIUM","679","19.97"
