"Year","Citations","diffMedian5"
"1990","2584","595"
"1991","2926","733"
"1992","3256","672"
"1993","3425","499"
"1994","3841","585"
"1995","4376","951"
"1996","4560","719"
"1997","4701","325"
"1998","5510","950"
"1999","5998","1297"
"2000","6929","1419"
"2001","7130","1132"
"2002","7840","911"
"2003","8124","994"
"2004","8814","974"
"2005","9589","1465"
"2006","10046","1232"
"2007","10661","1072"
"2008","10241","195"
"2009","10730","489"
"2010","10917","256"
"2011","10551","-110"
"2012","10967","237"
"2013","10540","-190"
"2014","9642","-909"
"2015","9308","-1232"
"2016","8145","-1497"
"2017","7804","-1504"
"2018","6082","-2063"
"2019","4083","-3721"
"2020","2300","-3782"
"2021","225","-3858"
