"Year","Google link","Reference","Local Citations"
"2021","link","JI ZJ 2021 IEEE T CYBERNETICS","3"
"2021","link","HEPPENSTALL A 2021 GEOGR ANAL","2"
"2021","link","LIU RL 2021 CHEM ENG J","2"
"2021","link","RAMSTEAD MJD 2021 SYNTHESE","2"
"2021","link","REILLY ALLISON C 2021 RISK ANAL","2"
"2021","link","WANG CT 2021 EUR J APPL MATH","2"
"2021","link","WANG ZX 2021 IEEE T SYST MAN CY-S","2"
"2021","link","XIONG Z 2021 COMPOS STRUCT","2"
"2021","link","XU Y 2021 IEEE T CYBERNETICS","2"
"2021","link","ALMEIDA R 2021 J COMPUT APPL MATH","1"
"2021","link","ANONYMOUS 2021 MODEL DATA USING DIS","1"
"2021","link","ARIAS S 2021 FIRE SAFETY J","1"
"2021","link","ATLI I 2021 ENG SCI TECHNOL","1"
"2021","link","AWADA M 2021 BUILD ENVIRON","1"
"2021","link","AZAD MS 2021 SPE J","1"
"2021","link","BAGGS E 2021 SYNTHESE","1"
"2021","link","BANTING H 2021 IEEE T MICROW THEORY","1"
"2021","link","BEARCE EA 2021 SEMIN CELL DEV BIOL","1"
"2021","link","BELLEROSE M 2021 INT J DRUG POLICY","1"
"2021","link","BENGIO Y 2021 J AM MED INFORM ASSN","1"
"2021","link","BIANCHI FM 2021 IEEE T NEUR NET LEAR","1"
"2021","link","BICHER M. 2021 MED DECIS MAKING","1"
"2021","link","BLANCHARD J.R. 2021 SOCIABILITY TIME CAN","1"
"2021","link","BOTTA A 2021 J ECON BEHAV ORGAN","1"
"2021","link","BRENNA E 2021 MEDICINA-LITHUANIA","1"
"2021","link","BUETTNER T 2021 INT TAX PUBLIC FINAN","1"
"2021","link","BURLEY SK 2021 NUCLEIC ACIDS RES","1"
"2021","link","CALSOLARO V 2021 PHARMACEUTICALS-BASE","1"
"2021","link","CASTALDO M 2021 EPJ DATA SCI","1"
"2021","link","CDC 2021 COVID 19 SPREADS","1"
"2021","link","CEVIK M 2021 LANCET MICROBE","1"
"2021","link","CHEN YW 2021 IEEE T CYBERNETICS","1"
"2021","link","CHEN Z. 2021 POWDER TECHNOL","1"
"2021","link","CHENG YL 2021 FUZZY SET SYST","1"
"2021","link","CHOI SH 2021 AM J ORTHOD DENTOFAC","1"
"2021","link","CHOPADE AR 2021 COMB CHEM HIGH T SCR","1"
"2021","link","CRIPPEN M 2021 SYNTHESE","1"
"2021","link","CRIPPEN M 2021 TOPOI-INT REV PHILOS","1"
"2021","link","CULLINAN J 2021 MEDICINA-LITHUANIA","1"
"2021","link","DE LUCA CR 2021 J BRAZ SOC MECH SCI","1"
"2021","link","DESAI P. S. 2021 BUILD SIMUL-CHINA","1"
"2021","link","DORAZIO M. 2021 BUILD SIMUL-CHINA","1"
"2021","link","DOUMENG M 2021 POLYM TEST","1"
"2021","link","EID MR 2021 J THERM ANAL CALORIM","1"
"2021","link","FAN X 2021 ECOTOX ENVIRON SAFE","1"
"2021","link","FAN YX 2021 BIOTECHNOL APPL BIOC","1"
"2021","link","FEDELE G 2021 INT J CONTROL","1"
"2021","link","FIENGO G 2021 INT J CONTROL","1"
"2021","link","FORKOSH O 2021 PATTERNS","1"
"2021","link","FRIEDMAN KJ 2021 MEDICINA-LITHUANIA","1"
