"SO","Rank","Freq","cumFreq","Zone"
"JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION","1","130","130","Zone 1"
"PLOS ONE","2","111","241","Zone 1"
"PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS","3","109","350","Zone 1"
"PHYSICAL REVIEW E","4","62","412","Zone 1"
"IEEE ACCESS","5","49","461","Zone 1"
"SCIENTIFIC REPORTS","6","40","501","Zone 1"
"PLOS COMPUTATIONAL BIOLOGY","7","36","537","Zone 1"
"JOURNAL OF THEORETICAL BIOLOGY","8","33","570","Zone 1"
"COMPLEXITY","9","27","597","Zone 1"
"ECOLOGICAL MODELLING","10","27","624","Zone 1"
"JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","11","27","651","Zone 1"
"JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT","12","26","677","Zone 1"
"IEEE TRANSACTIONS ON AUTOMATIC CONTROL","13","25","702","Zone 1"
"INTERNATIONAL JOURNAL OF MODERN PHYSICS C","14","25","727","Zone 1"
"AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS","15","23","750","Zone 1"
"NEUROCOMPUTING","16","23","773","Zone 1"
"ADAPTIVE BEHAVIOR","17","22","795","Zone 1"
"SIMULATION MODELLING PRACTICE AND THEORY","18","22","817","Zone 1"
"COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY","19","21","838","Zone 1"
"INTERNATIONAL JOURNAL OF CONTROL","20","21","859","Zone 1"
