"Sources","Articles"
"JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION","130"
"PLOS ONE","111"
"PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS","109"
"PHYSICAL REVIEW E","62"
"IEEE ACCESS","49"
"SCIENTIFIC REPORTS","40"
"PLOS COMPUTATIONAL BIOLOGY","36"
"JOURNAL OF THEORETICAL BIOLOGY","33"
"COMPLEXITY","27"
"ECOLOGICAL MODELLING","27"
"JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","27"
"JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT","26"
"IEEE TRANSACTIONS ON AUTOMATIC CONTROL","25"
"INTERNATIONAL JOURNAL OF MODERN PHYSICS C","25"
"AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS","23"
"NEUROCOMPUTING","23"
"ADAPTIVE BEHAVIOR","22"
"SIMULATION MODELLING PRACTICE AND THEORY","22"
"COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY","21"
"INTERNATIONAL JOURNAL OF CONTROL","21"
