"Year","JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION","PLOS ONE","PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS","PHYSICAL REVIEW E","IEEE ACCESS"
"1990","0","0","0","0","0"
"1991","0","0","0","0","0"
"1992","0","0","0","0","0"
"1993","0","0","0","0","0"
"1994","0","0","0","0","0"
"1995","0","0","0","0","0"
"1996","0","0","0","0","0"
"1997","0","0","0","1","0"
"1998","0","0","0","1","0"
"1999","0","0","0","2","0"
"2000","0","0","0","2","0"
"2001","3","0","0","3","0"
"2002","5","0","1","3","0"
"2003","8","0","3","3","0"
"2004","8","0","3","3","0"
"2005","13","0","7","6","0"
"2006","17","0","10","9","0"
"2007","22","0","16","11","0"
"2008","30","1","18","12","0"
"2009","32","6","24","14","0"
"2010","48","11","28","18","0"
"2011","51","19","32","21","0"
"2012","56","24","36","26","0"
"2013","62","40","38","31","0"
"2014","71","48","45","36","0"
"2015","83","64","49","39","0"
"2016","89","70","56","40","1"
"2017","102","80","68","43","4"
"2018","112","91","80","48","8"
"2019","118","93","91","52","24"
"2020","124","107","100","58","44"
"2021","130","111","109","62","49"
