"Element","h_index","g_index","m_index","TC","NP","PY_start"
"AAPS JOURNAL","1","1","0.2","7","1","2017"
"ABSTRACT AND APPLIED ANALYSIS","1","1","0.1","3","1","2012"
"ACADEMIC RADIOLOGY","2","2","0.0769230769230769","14","2","1996"
"ACCIDENT ANALYSIS AND PREVENTION","2","2","0.0666666666666667","52","2","1992"
"ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL","1","1","0.142857142857143","22","1","2015"
"ACI MATERIALS JOURNAL","1","1","0.111111111111111","8","1","2013"
"ACI STRUCTURAL JOURNAL","1","3","0.0769230769230769","77","3","2009"
"ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS","2","3","0.153846153846154","11","3","2009"
"ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION","1","1","0.0833333333333333","7","1","2010"
"ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS","1","1","0.5","1","1","2020"
"ACM TRANSACTIONS ON GRAPHICS","1","1","0.1","62","1","2012"
"ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY","3","4","0.333333333333333","26","4","2013"
"ACM TRANSACTIONS ON INTERNET TECHNOLOGY","1","1","0.142857142857143","9","1","2015"
"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION","3","4","0.214285714285714","53","4","2008"
"ACM TRANSACTIONS ON SENSOR NETWORKS","1","1","0.25","5","1","2018"
"ACS APPLIED BIO MATERIALS","1","1","0.333333333333333","8","1","2019"
"ACS APPLIED MATERIALS & INTERFACES","6","8","0.666666666666667","580","8","2013"
"ACS BIOMATERIALS SCIENCE & ENGINEERING","1","1","0.333333333333333","8","1","2019"
"ACS CHEMICAL NEUROSCIENCE","3","3","0.6","43","3","2017"
"ACS COMBINATORIAL SCIENCE","1","1","0.0909090909090909","7","1","2011"
