"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","1990:2021"
"Sources (Journals, Books, etc)","2319"
"Documents","5787"
"Average years from publication","7.36"
"Average citations per documents","20.7"
"Average citations per year per doc","2.262"
"References","201464"
"DOCUMENT TYPES",""
"article","5787"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","13735"
"Author's Keywords (DE)","15704"
"AUTHORS",""
"Authors","19410"
"Author Appearances","23470"
"Authors of single-authored documents","375"
"Authors of multi-authored documents","19035"
"AUTHORS COLLABORATION",""
"Single-authored documents","409"
"Documents per Author","0.298"
"Authors per Document","3.35"
"Co-Authors per Documents","4.06"
"Collaboration Index","3.54"
"",""
