"Node","Cluster","Betweenness","Closeness","PageRank"
"zhang h","1","0","0.000132135306553911","0.0112359550561798"
"zhao l","1","0","0.000132135306553911","0.0112359550561798"
"li b","1","0","0.000132135306553911","0.0112359550561798"
"li h","1","0","0.000132135306553911","0.0112359550561798"
"chen g","2","50","0.000180310133429499","0.0119180276326875"
"li hq","2","95","0.000181028240405503","0.0191247066006049"
"zhao y","2","0","0.000181028240405503","0.00878217463248368"
"wen gh","2","169.2","0.000181818181818182","0.021111347237635"
"duan zs","2","61.8","0.000181686046511628","0.0186360349703972"
"wang jy","2","0","0.000181028240405503","0.00878217463248368"
"ji lh","2","26","0.00018018018018018","0.00943698537818118"
"huang tw","2","152","0.00018152114721365","0.0139767279640039"
"liao xf","2","50","0.000180962721679334","0.0136936323869334"
"lin zl","2","0","0.000178699070764832","0.00600675468340959"
"liu q","2","0","0.000179340028694405","0.00569611204415397"
"wang yq","2","0","0.00018018018018018","0.0046410297330659"
"zhao zy","2","26","0.000179533213644524","0.0101679092352532"
"lee s","3","0","0.000129132231404959","0.0112359550561798"
"kim j","3","0","0.000129132231404959","0.0112359550561798"
"wang l","4","26","0.000179888469149128","0.0144606305126994"
"su hs","4","126","0.000181225081551287","0.0212181400448101"
"zhang l","4","0","0.00017905102954342","0.00414370044558587"
"wang xf","4","0","0.000181028240405503","0.0108937753849353"
"liu b","4","72","0.000180635838150289","0.0162381087783983"
"chu tg","4","0","0.000179856115107914","0.0111837598140019"
"li r","4","26","0.000180570603105814","0.00954383047753848"
"yang j","4","0","0.000179726815240834","0.0043894785603962"
"zhang ht","4","26","0.000180864532465184","0.00937790923959484"
"chen gr","4","186","0.000181653042688465","0.0129094591537682"
"chen zy","4","0","0.00018001800180018","0.00646812697062034"
"pezzulo g","5","0","0.000129132231404959","0.0112359550561798"
"friston k","5","0","0.000129132231404959","0.0112359550561798"
"zhang d","6","0","0.000129132231404959","0.0112359550561798"
"li q","6","0","0.000129132231404959","0.0112359550561798"
"delcea c","7","0","0.000129132231404959","0.0112359550561798"
"cotfas la","7","0","0.000129132231404959","0.0112359550561798"
"de jong n","8","0","0.000132082948091401","0.00627462425215234"
"bouakaz a","8","2","0.000132117849121416","0.0161972858602072"
"doinikov aa","8","2","0.000132117849121416","0.0161972858602072"
"dayton pa","8","0","0.000132082948091401","0.00627462425215234"
"galea s","9","0","0.000129132231404959","0.0112359550561798"
"marshall bdl","9","0","0.000129132231404959","0.0112359550561798"
"kumar a","10","0","0.000130616509926855","0.0112359550561798"
"sharma s","10","0","0.000130616509926855","0.0112359550561798"
"sharma mc","10","0","0.000130616509926855","0.0112359550561798"
"bandini s","11","0","0.000129132231404959","0.0112359550561798"
"vizzari g","11","0","0.000129132231404959","0.0112359550561798"
"liu y","12","2","0.000132117849121416","0.0150922663581063"
"xiong f","12","0","0.000132082948091401","0.0113067130617197"
"chen t","12","2","0.000132117849121416","0.0111651970506398"
