"Node","Cluster","Betweenness","Closeness","PageRank"
"usa","1","508.392240575742","0.02","0.158082479519668"
"china","1","46.6154425188876","0.0147058823529412","0.0837634610494994"
"japan","1","2.12300747550154","0.0121951219512195","0.0196863786291998"
"canada","1","7.45462878582995","0.0136986301369863","0.0341865970513118"
"australia","1","18.776088699752","0.0144927536231884","0.0403706563794168"
"iran","1","0.348833551273429","0.0117647058823529","0.0111150849895278"
"turkey","1","1.63021192599837","0.0119047619047619","0.00968358142339739"
"korea","1","0.77724287756025","0.0116279069767442","0.012517780896856"
"russia","1","0.0113401928555091","0.0111111111111111","0.00730755791196199"
"israel","1","0","0.0104166666666667","0.00651723273022569"
"singapore","1","0.00291828793774319","0.0114942528735632","0.0108625591546713"
"romania","1","0","0.010989010989011","0.0054101022311752"
"hungary","1","0","0.0108695652173913","0.00481636368893674"
"ireland","1","0","0.0113636363636364","0.00806421772244896"
"new zealand","1","0.00259403372243839","0.0111111111111111","0.00686795616606694"
"malaysia","1","0.00395256916996047","0.0106382978723404","0.00436683470381527"
"thailand","1","0","0.0105263157894737","0.00469479018831288"
"united kingdom","2","91.2626615005347","0.0161290322580645","0.089140715907849"
"germany","2","87.1140589968687","0.0161290322580645","0.0677240233558455"
"italy","2","23.4818161411092","0.0149253731343284","0.0486441337556498"
"france","2","35.6216690197426","0.0135135135135135","0.0333696084053923"
"spain","2","15.5293946853528","0.0138888888888889","0.0349145422706742"
"netherlands","2","4.34432156498512","0.0131578947368421","0.0341312513522808"
"switzerland","2","12.3059319412917","0.0140845070422535","0.0305191566260019"
"poland","2","0.0595393908618701","0.0113636363636364","0.00747593841076854"
"mexico","2","0","0.0113636363636364","0.00635991037573354"
"sweden","2","0.900441235091325","0.0123456790123457","0.0196417438150616"
"portugal","2","2.22199863511198","0.0120481927710843","0.0119948841980702"
"greece","2","0","0.0108695652173913","0.00593402623552282"
"belgium","2","2.07484736217837","0.0119047619047619","0.0139129277360638"
"austria","2","0.0236669201895681","0.0121951219512195","0.0144639927850167"
"norway","2","0.105738386072605","0.0111111111111111","0.00638672911596686"
"finland","2","0.0191082802547771","0.0102040816326531","0.00609061077431781"
"chile","2","0.179888960057372","0.0113636363636364","0.00779528023655209"
"denmark","2","0.365128528553209","0.0120481927710843","0.0108754572746052"
"colombia","2","0","0.0108695652173913","0.00548240994099049"
"morocco","2","0","0.00884955752212389","0.00415888299521008"
"brazil","3","19.3085528329225","0.0131578947368421","0.023521695598672"
"argentina","3","0","0.0111111111111111","0.00688657527538921"
"czech republic","3","0","0.0112359550561798","0.00724254356398379"
"india","4","6.02239803418296","0.0123456790123457","0.0157719126980227"
"saudi arabia","4","3.52293144997831","0.0117647058823529","0.0156966968052949"
"south africa","4","0.328028498903173","0.0114942528735632","0.0112280835927379"
"pakistan","4","0","0.010752688172043","0.00545926801348259"
"egypt","4","0.0961631498641658","0.010752688172043","0.0069766102346882"
"serbia","4","0.559516388512709","0.0099009900990099","0.00676042702003128"
"slovenia","4","1.41369660314979","0.0113636363636364","0.00806339802497961"
"croatia","4","0","0.010752688172043","0.00506292916865276"
