"From","To","Frequency"
"ARGENTINA","VENEZUELA","1"
"AUSTRALIA","AUSTRIA","2"
"AUSTRALIA","BELGIUM","2"
"AUSTRALIA","CHILE","2"
"AUSTRALIA","COLOMBIA","1"
"AUSTRALIA","CZECH REPUBLIC","2"
"AUSTRALIA","DENMARK","2"
"AUSTRALIA","ETHIOPIA","1"
"AUSTRALIA","FINLAND","1"
"AUSTRALIA","HUNGARY","2"
"AUSTRALIA","INDONESIA","1"
"AUSTRALIA","IRAN","6"
"AUSTRALIA","IRELAND","3"
"AUSTRALIA","LUXEMBOURG","1"
"AUSTRALIA","MALAYSIA","2"
"AUSTRALIA","NEW ZEALAND","4"
"AUSTRALIA","NORWAY","1"
"AUSTRALIA","PAKISTAN","1"
"AUSTRALIA","PORTUGAL","1"
"AUSTRALIA","QATAR","2"
"AUSTRALIA","SAUDI ARABIA","2"
"AUSTRALIA","SERBIA","1"
"AUSTRALIA","SINGAPORE","3"
"AUSTRALIA","SOUTH AFRICA","1"
"AUSTRALIA","SWEDEN","1"
"AUSTRALIA","SWITZERLAND","5"
"AUSTRALIA","TURKEY","4"
"AUSTRALIA","U ARAB EMIRATES","1"
"AUSTRIA","OMAN","2"
"AUSTRIA","PAKISTAN","1"
"AUSTRIA","ROMANIA","1"
"AUSTRIA","SLOVENIA","1"
"BELGIUM","AUSTRIA","1"
"BELGIUM","COLOMBIA","1"
"BELGIUM","DENMARK","1"
"BELGIUM","ETHIOPIA","2"
"BELGIUM","SERBIA","2"
"BRAZIL","ARGENTINA","6"
"BRAZIL","AUSTRALIA","4"
"BRAZIL","AUSTRIA","3"
"BRAZIL","BELGIUM","1"
"BRAZIL","CANADA","3"
"BRAZIL","CHILE","1"
"BRAZIL","COLOMBIA","1"
"BRAZIL","CZECH REPUBLIC","7"
"BRAZIL","DENMARK","1"
"BRAZIL","INDIA","1"
"BRAZIL","KOREA","2"
"BRAZIL","MOROCCO","2"
"BRAZIL","NETHERLANDS","2"
