Description;Results
MAIN INFORMATION ABOUT DATA;
Timespan;1991:2022
Sources (Journals; Books; etc);1910
Documents;4647
Average years from publication;7,8
Average citations per documents;21,77
Average citations per year per doc;2,183
References;157507
DOCUMENT TYPES;
article;4647
DOCUMENT CONTENTS;
Keywords Plus (ID);9956
Author's Keywords (DE);13046
AUTHORS;
Authors;14229
Author Appearances;17327
Authors of single-authored documents;358
Authors of multi-authored documents;13871
AUTHORS COLLABORATION;
Single-authored documents;390
Documents per Author;0,327
Authors per Document;3,06
Co-Authors per Documents;3,73
Collaboration Index;3,26
