Node;Cluster;Betweenness;Closeness;PageRank
no title;1;425,85503614662;0,0128205128205128;0,0233095963895352
bonabeau e 2002;1;17,8359782115658;0,01;0,0228280350954953
grimm v 2010;1;5,71739489726624;0,00925925925925926;0,021341871611685
wilensky u, 1999;1;4,32848800542181;0,00961538461538462;0,0210926163073822
grimm v 2006;1;1,28781272262149;0,0087719298245614;0,0215350759489161
epstein j,m, 1996;1;2,04082013359821;0,00943396226415094;0,0204025641236028
sutton richard 2011;1;0;0,00320512820512821;0,0193489147750428
axelrod r, 1997;1;8,3756552277588;0,0099009900990099;0,0208545030709487
schelling tc 1971;1;6,75090622014259;0,00980392156862745;0,0204251890938927
lux t 1999;1;2,89542159007039;0,00909090909090909;0,0198573531218036
parker dc 2003;1;0,65378474505205;0,00884955752212389;0,0201646372951502
grimm v 2005;1;1,29764931572307;0,0087719298245614;0,020223770903942
janssen ma 2006;1;0,0350877192982456;0,0078125;0,0213548072985113
kahneman d 1979;1;0,625790851602214;0,00806451612903226;0,0209465295958707
watts dj 1998;2;161,630783860656;0,0114942528735632;0,0202795077060458
barabasi al 1999;2;152,378632631018;0,0116279069767442;0,0202252621623058
castellano c 2009;2;21,7548078534292;0,0102040816326531;0,0200482465756644
hegselmann r 2002;2;73,2532681032169;0,0106382978723404;0,0198323046386548
deffuant g 2000;2;12,9077807842877;0,00980392156862745;0,0196340599998588
sznajd-weron k 2000;2;2,35590155076636;0,00884955752212389;0,0195021969296511
mcpherson m 2001;2;11,5911108768133;0,00925925925925926;0,019283624614705
albert r 2002;2;4,95426761103989;0,00961538461538462;0,0195554755286781
axelrod r 1997;2;5,51071157042946;0,00970873786407767;0,0196563942504892
newman mej 2003;2;1,0006387124273;0,00900900900900901;0,0195336187780503
olfati-saber r 2004;3;40,5815220971998;0,00980392156862745;0,0202494076994296
vicsek t 1995;3;1,04209773148199;0,00943396226415094;0,0199307692724466
reynolds c, 1987;3;4,58471046225234;0,00952380952380952;0,0199552748130334
ren w 2005;3;6,20717017256158;0,00909090909090909;0,0201156827569947
jadbabaie a 2003;3;4,25178686544985;0,00934579439252336;0,0200902929650523
olfati-saber r 2006;3;1,43842953639116;0,00934579439252336;0,0201770734835025
dimarogonas dv 2012;3;11,2506195593528;0,00934579439252336;0,0195207074585526
olfati-saber r 2007;3;3,065136741985;0,00934579439252336;0,0198206694046214
couzin id 2005;3;1,74931838298316;0,00854700854700855;0,0193933754441073
fax ja 2004;3;1,70571842810357;0,00934579439252336;0,0195281029830191
couzin id 2002;3;0,0779376731048318;0,00900900900900901;0,0191479984211196
khalil kh 2002;3;1,48558810589752;0,00943396226415094;0,0198526516368716
vicsek t 2012;3;1,2174474847307;0,00925925925925926;0,0195486332766775
seyboth gs 2013;3;0;0,00315457413249211;0,0193788528117987
tabuada p 2007;3;2,4872710225037;0,00769230769230769;0,0193296680664311
ren w 2008;3;2,04498420525346;0,00819672131147541;0,0195488884661004
ballerini m 2008;3;0,196341109202136;0,00826446280991736;0,0192303916959569
ren w 2007;3;0,210024388139774;0,00819672131147541;0,0194892285995976
zhu w 2014;3;0;0,00315457413249211;0,0193637605930113
helbing d 2000;4;99,8131417121199;0,0121951219512195;0,0194994014616886
helbing d 1995;4;11,5766402920046;0,00943396226415094;0,0188827022026156
nowak ma 1992;5;5,24600137591348;0,0099009900990099;0,0194160073283369
nowak ma 2006;5;5,72676843473463;0,00970873786407767;0,0192513037623669
axelrod r, 1984;5;20,5048473917558;0,00970873786407767;0,0193309837532564
szabo g 2007;5;5,8110393496219;0,0099009900990099;0,01937855497943
axelrod r 1981;5;7,68772813643122;0,00970873786407767;0,0193334608480994
