Node;Cluster;Betweenness;Closeness;PageRank
chen gr;2;206;0,000230043708304578;0,013260985085883
wen gh;5;194,338030596854;0,000230414746543779;0,0289350591308089
huang tw;5;154,27149321267;0,000229885057471264;0,017105882655939
su hs;2;138;0,000229252636405319;0,0190102082805516
liu b;2;120;0,000228310502283105;0,0130504902259542
wang l;2;78;0,000227221086116792;0,0185428270738584
li hq;6;78;0,000228885328450446;0,0153351709697482
cao jd;5;55;0,000229357798165138;0,0157046010727164
chen g;6;54;0,000227634873662645;0,0121681722201949
liao xf;6;54;0,00022883295194508;0,0137213551971001
duan zs;5;49,3904761904762;0,000230043708304578;0,018752836774209
yu ww;5;49,2076923076923;0,000229779411764706;0,0183408709388276
zhao zy;6;28;0,000226295541977823;0,0106955696863958
zhang ht;2;28;0,000228675966155957;0,0099532459065552
hao f;2;28;0,000225937641211026;0,0123756063896498
ji lh;6;28;0,000227479526842584;0,00986291087412475
xie gm;5;28;0,000228466986520448;0,0136733851255423
hu hx;5;14,7923076923077;0,000229357798165138;0,0141106117824206
zhang yl;4;12;0,000164554879052164;0,0151065669213975
liu j;4;6;0,000164500740253331;0,0186250113465844
wen gg;4;6;0,000164473684210526;0,0138757265550913
xu c;1;5;0,000158252888115208;0,0222764313643031
zhang w;1;3;0,000158227848101266;0,0115445262454952
nogami h;9;2;0,000156274417877793;0,0166828054527765
liu y;3;1;0,000154320987654321;0,017798286090969
parr t;7;1;0,000154320987654321;0,017798286090969
zhou j;13;1;0,000154320987654321;0,017798286090969
wang j;1;0;0,000158152775581211;0,00771697667788547
hui pm;1;0;0,000158177791838026;0,0144525793991213
li ys;1;0;0,000158177791838026;0,00498509606929253
zhang l;2;0;0,000225886604924328;0,00796259060521365
wang xf;2;0;0,000228937728937729;0,0121629742765174
chu tg;2;0;0,000227066303360581;0,011928553137485
chen zy;2;0;0,000227221086116792;0,00690542370502608
chen x;2;0;0,000224517287831163;0,00533569010308371
xiong f;3;0;0,000154297176361673;0,0131756756756757
chen t;3;0;0,000154297176361673;0,00561140408701384
yu y;4;0;0,000164473684210526;0,0157272468188952
sun cy;4;0;0,000164473684210526;0,0157272468188952
wu j;4;0;0,000164338537387017;0,00369176942734137
peng zx;4;0;0,000164446637066272;0,0103571688573511
yu yg;4;0;0,000164311534669734;0,00445023886420017
wang c;5;0;0,000227014755959137;0,00764045697103841
zhao y;5;0;0,000229042601923958;0,00896209428703254
li xd;5;0;0,000227894257064722;0,00449905047504471
wang jy;5;0;0,000229042601923958;0,00896209428703255
hu ah;5;0;0,000227894257064722;0,00449905047504471
lin zl;6;0;0,000224870699347875;0,00637488540940113
liu q;6;0;0,000226039783001808;0,00602100541418595
friston kj;7;0;0,000154297176361673;0,00939353988134476
