Node;Cluster;Betweenness;Closeness;PageRank
city univ hong kong;2;372;0,000384467512495194;0,0153187988413144
southeast univ;1;367,886362196382;0,000386996904024768;0,0357467178748012
univ penn;5;331,717627498407;0,000386697602474865;0,012323132638892
univ cambridge;7;306,822368421053;0,000382995021064726;0,0146732046496877
beijing jiaotong univ;1;252,282372501593;0,000383288616328095;0,0180462322032962
univ oxford;7;252;0,000378931413414172;0,0118734131676226
stanford univ;5;245,53999591946;0,000385208012326656;0,0262755754433066
beihang univ;1;227,66000408054;0,000384763370527126;0,0176657647832087
boston univ;7;227;0,000374672161858374;0,0198783887037333
huazhong univ sci and technol;2;190,261471861472;0,00038109756097561;0,0277314486599327
duke univ;5;190;0,000381970970206264;0,0142516178980161
shanghai jiao tong univ;2;163,738528138528;0,000381242851696531;0,0266467389106053
kings coll london;7;161;0,000369959304476508;0,0253367537259936
univ n carolina;5;159;0,000377073906485671;0,0206738339760087
shanghai univ;2;156;0,000376789751318764;0,0180381792266428
peking univ;1;124,091269382565;0,000384763370527126;0,0226382297896009
univ technol sydney;15;120;0,000371747211895911;0,0166818503888536
univ maryland;5;82;0,000371747211895911;0,0122644473311592
univ sci and technol beijing;1;42;0,000382995021064726;0,0150860591715068
hong kong polytech univ;1;42;0,000377500943752359;0,0105192567734388
michigan state univ;5;42;0,000366300366300366;0,0138766432958377
univ calif berkeley;5;42;0,000379362670713202;0,0137024921448207
inst neurol;7;42;0,000364564345607;0,0132088407809441
australian natl univ;15;42;0,000366434591425431;0,0127465028190159
vrije univ amsterdam;8;4;0,000185116623472788;0,0172132550966698
