Node;Cluster;Betweenness;Closeness;PageRank
usa;1;522,631595843409;0,0192307692307692;0,162469308865827
china;1;121,474515612451;0,0153846153846154;0,107516628278126
united kingdom;2;110,857806354611;0,0158730158730159;0,101036993080562
france;2;77,476002399082;0,0133333333333333;0,039065056711103
germany;2;71,8464328928811;0,0149253731343284;0,0643830702300465
brazil;3;21,1686971093221;0,012987012987013;0,024354128173564
spain;2;18,9139531009515;0,0133333333333333;0,0374496669302314
australia;1;16,0907803476753;0,0135135135135135;0,0420432828804209
switzerland;2;12,7865561391994;0,012987012987013;0,0287357685131236
netherlands;2;4,53103220914387;0,012987012987013;0,0386945887893765
italy;2;4,16745022672384;0,0131578947368421;0,0481497225922593
canada;1;3,73002292075069;0,0125;0,0350407973037551
portugal;2;2,33526157498057;0,0117647058823529;0,0127504312784471
sweden;2;0,360394766832918;0,0121951219512195;0,0188860569508163
denmark;2;0,310209172445925;0,0116279069767442;0,0115641489393015
finland;2;0,0917798876278869;0,0101010101010101;0,00755753872561819
austria;2;0,0527187222265626;0,0121951219512195;0,0170013805075454
japan;1;0,0525544470186362;0,0116279069767442;0,01436274119389
iran;1;0,0470414518800646;0,0108695652173913;0,00605685601502685
ireland;1;0,0469402145947285;0,0113636363636364;0,00946366057355904
korea;1;0,0244762686612545;0,0114942528735632;0,010745269860882
singapore;1;0,00377833753148615;0,0113636363636364;0,0136964192881039
israel;1;0;0,0103092783505155;0,00686596153560776
norway;1;0;0,010989010989011;0,00719917418231098
turkey;1;0;0,010752688172043;0,00527377078357857
