"region","Freq"
"USA","1936"
"CHINA","1753"
"UK","569"
"GERMANY","405"
"ITALY","352"
"FRANCE","313"
"SPAIN","268"
"JAPAN","245"
"NETHERLANDS","224"
"AUSTRALIA","215"
"CANADA","212"
"BRAZIL","165"
"SOUTH KOREA","115"
"SWITZERLAND","106"
"IRAN","93"
"INDIA","87"
"ARGENTINA","76"
"SINGAPORE","68"
"POLAND","61"
"MEXICO","60"
"PORTUGAL","60"
"ISRAEL","59"
"SWEDEN","56"
"AUSTRIA","51"
"BELGIUM","47"
"FINLAND","45"
"NORWAY","41"
"TURKEY","38"
"DENMARK","35"
"CHILE","34"
"CZECH REPUBLIC","32"
"HUNGARY","30"
"GREECE","28"
"IRELAND","27"
"ROMANIA","27"
"RUSSIA","27"
"PAKISTAN","23"
"SAUDI ARABIA","23"
"COLOMBIA","19"
"NEW ZEALAND","19"
"SOUTH AFRICA","17"
"SLOVAKIA","16"
"MOROCCO","14"
"SLOVENIA","14"
"QATAR","12"
"MALAYSIA","11"
"THAILAND","11"
"VIETNAM","11"
"CROATIA","9"
"TUNISIA","9"
"ALGERIA","8"
"EGYPT","8"
"LITHUANIA","6"
"LUXEMBOURG","6"
"SERBIA","6"
"JORDAN","5"
"LEBANON","5"
"VENEZUELA","5"
"KENYA","4"
"OMAN","4"
"PERU","4"
"CAMEROON","3"
"ETHIOPIA","3"
"IRAQ","3"
"TANZANIA","3"
"URUGUAY","3"
"BANGLADESH","2"
"CUBA","2"
"CYPRUS","2"
"ECUADOR","2"
"INDONESIA","2"
"PANAMA","2"
"BULGARIA","1"
"COSTA RICA","1"
"ESTONIA","1"
"GHANA","1"
"KUWAIT","1"
"MALAWI","1"
"MALTA","1"
"TOGO","1"
"UKRAINE","1"
