Element;h_index;g_index;m_index;TC;NP;PY_start
COTFAS LA;6;6;1,500;61;6;2019
DELCEA C;6;6;1,500;61;6;2019
YU Y;7;8;1,167;265;8;2017
AUSBAND DE;1;1;1,000;1;1;2022
CRACIUN L;4;4;1,000;43;4;2019
EMLEN DJ;1;1;1,000;1;1;2022
FUCHISE K;2;2;1,000;5;2;2021
GUDE JA;1;1;1,000;1;1;2022
HESP C;2;2;1,000;28;2;2021
IGARASHI M;2;2;1,000;5;2;2021
LI B;5;6;1,000;114;6;2018
LIU H;4;6;1,000;58;6;2019
LUIS AD;1;1;1,000;1;1;2022
MILNE RJ;4;4;1,000;38;4;2019
MITCHELL MS;1;1;1,000;1;1;2022
MOLANESCU AG;4;4;1,000;43;4;2019
PARR T;4;4;1,000;49;4;2019
PODRUZNY KM;1;1;1,000;1;1;2022
RAHMANI A;4;4;1,000;57;4;2019
SELLS SN;1;1;1,000;1;1;2022
SHI KB;4;4;1,000;64;4;2019
SUN CY;6;6;1,000;232;6;2017
SUN J;4;4;1,000;90;4;2019
YU YG;4;5;1,000;39;5;2019
LIU J;7;11;0,875;318;11;2015
