Country;Total Citations;Average Article Citations
USA;19823;27,04
CHINA;12836;16,46
UNITED KINGDOM;5051;23,94
GERMANY;4288;25,08
ITALY;2503;16,47
CANADA;2449;26,05
AUSTRALIA;2418;25,19
FRANCE;2008;18,42
NETHERLANDS;1683;18,29
SPAIN;1639;15,46
JAPAN;1192;10,74
SWITZERLAND;1081;26,37
SINGAPORE;777;25,06
BRAZIL;683;9,36
IRAN;580;14,87
ARGENTINA;578;18,65
INDIA;531;12,95
KOREA;529;8,97
BELGIUM;506;25,30
MEXICO;461;13,97
ISRAEL;406;15,04
PORTUGAL;356;15,48
FINLAND;354;22,12
SWEDEN;307;18,06
IRELAND;287;35,88
POLAND;274;7,61
SLOVENIA;262;29,11
AUSTRIA;255;12,75
NORWAY;228;13,41
TURKEY;211;11,11
GREECE;201;12,56
VENEZUELA;175;87,50
ROMANIA;161;13,42
SAUDI ARABIA;154;14,00
DENMARK;120;8,00
CZECH REPUBLIC;108;7,71
SOUTH AFRICA;101;25,25
THAILAND;84;16,80
COLOMBIA;76;8,44
HUNGARY;75;7,50
NEW ZEALAND;71;8,88
RUSSIA;70;5,83
CHILE;57;4,38
MALAYSIA;52;10,40
MOROCCO;42;7,00
SLOVAKIA;42;3,82
EGYPT;40;10,00
CROATIA;36;6,00
JORDAN;30;10,00
CYPRUS;28;28,00
BANGLADESH;25;25,00
PAKISTAN;21;4,20
LITHUANIA;20;6,67
LUXEMBOURG;18;9,00
TUNISIA;14;4,67
SERBIA;11;5,50
ALGERIA;10;3,33
PANAMA;9;9,00
COSTA RICA;8;8,00
MALTA;8;8,00
VIETNAM;5;1,67
OMAN;4;2,00
ESTONIA;3;3,00
GEORGIA;3;3,00
INDONESIA;3;3,00
CAMEROON;1;1,00
PERU;1;1,00
QATAR;1;1,00
KUWAIT;0;0,00
LEBANON;0;0,00
U ARAB EMIRATES;0;0,00
