Affiliations,Articles
BEIJING JIAOTONG UNIV,57
PEKING UNIV,51
BEIHANG UNIV,48
SOUTHEAST UNIV,46
HUAZHONG UNIV SCI AND TECHNOL,45
UNIV MICHIGAN,43
UNIV GRONINGEN,41
SHANGHAI JIAO TONG UNIV,36
UNIV ZARAGOZA,36
ARIZONA STATE UNIV,33
TONGJI UNIV,33
UNIV OXFORD,33
DELFT UNIV TECHNOL,32
UNIV PITTSBURGH,31
HARVARD UNIV,30
UNIV MARYLAND,30
UNIV WASHINGTON,30
CARNEGIE MELLON UNIV,29
CHONGQING UNIV POSTS AND TELECOMMUN,29
STANFORD UNIV,29
UNIV MINNESOTA,28
TSINGHUA UNIV,27
UNIV PENN,27
PRINCETON UNIV,26
TOHOKU UNIV,26
UNIV CALIF LOS ANGELES,26
UNIV EDINBURGH,26
UNIV ELECT SCI AND TECHNOL CHINA,26
UNIV N CAROLINA,26
NANYANG TECHNOL UNIV,25
UNIV ILLINOIS,25
UNIV SAO PAULO,25
ZHEJIANG UNIV,25
CHINESE UNIV HONG KONG,24
UNIV AMSTERDAM,24
NORTHEASTERN UNIV,23
UNIV SUSSEX,23
DUKE UNIV,22
UNIV VIRGINIA,22
UNIV YORK,22
BROWN UNIV,21
UNIV CAMBRIDGE,21
UNIV MELBOURNE,21
UNIV TEXAS AUSTIN,21
UNIV VERMONT,21
BOSTON UNIV,20
MICHIGAN STATE UNIV,20
SOUTHWEST UNIV,20
UNIV CALIF DAVIS,20
KYOTO UNIV,19
