Element;h_index;g_index;m_index;TC;NP;PY_start
SU HS;10;15;0,667;1267;15;2008
FRISTON KJ;9;10;0,600;1224;10;2008
WANG XF;9;11;0,529;1174;11;2006
WANG L;12;25;0,571;872;25;2002
LIN ZL;6;6;0,429;711;6;2009
LI HQ;6;9;0,500;656;9;2011
LIAO XF;6;6;0,667;646;6;2014
HUANG TW;6;7;0,750;590;7;2015
GOURINCHAS PO;1;1;0,048;548;1;2002
PARKER JA;1;1;0,048;548;1;2002
CHEN GR;6;6;0,429;539;6;2009
LIU F;3;5;0,300;517;5;2013
POLHILL JG;4;4;0,250;509;4;2007
HAAGENSON D;1;1;0,100;502;1;2013
JIANG L;1;1;0,100;502;1;2013
WIESENBORN DP;1;1;0,100;502;1;2013
XU XZ;1;1;0,100;502;1;2013
ZHU JY;1;1;0,100;502;1;2013
DAUNIZEAU J;2;2;0,154;501;2;2010
GOTTS NM;3;3;0,188;496;3;2007
BARTOLO D;1;1;0,100;494;1;2013
BRICARD A;1;1;0,100;494;1;2013
CAUSSIN JB;1;1;0,100;494;1;2013
DAUCHOT O;1;1;0,100;494;1;2013
DESREUMAUX N;1;1;0,100;494;1;2013
