Paper;DOI;Total Citations;TC per Year;Normalized TC
SU HS, 2009, IEEE T AUTOMAT CONTR;10.1109/TAC.2008.2010897;623;44,5000;15,3387
GOURINCHAS PO, 2002, ECONOMETRICA;10.1111/1468-0262.00269;548;26,0952;9,8534
XU XZ, 2013, ACS APPL MATER INTER;10.1021/am302624t;502;50,2000;17,4885
BRICARD A, 2013, NATURE;10.1038/nature12673;494;49,4000;17,2098
MATTHEWS RB, 2007, LANDSCAPE ECOL;10.1007/s10980-007-9135-1;485;30,3125;14,2393
ERDEM T, 1996, MARKET SCI;10.1287/mksc.15.1.1;444;16,4444;9,1546
LEBARON B, 1999, J ECON DYN CONTROL;10.1016/S0165-1889(98)00081-5;358;14,9167;5,1968
LI HQ, 2015, IEEE T AUTOMAT CONTR;10.1109/TAC.2014.2365073;354;44,2500;16,0068
FRISTON KJ, 2010, BIOL CYBERN;10.1007/s00422-010-0364-z;350;26,9231;12,9324
FUCHS T, 2009, PHENOMENOL COGN SCI;10.1007/s11097-009-9136-4;331;23,6429;8,1495
BARNER-KOWOLLIK C, 2001, MACROMOLECULES;10.1021/ma010349m;311;14,1364;7,1940
BALA V, 1998, REV ECON STUD;10.1111/1467-937X.00059;303;12,1200;5,3426
WAINFAN E, 1992, CANCER RES;NA;292;9,4194;5,0709
NORENZAYAN A, 2016, BEHAV BRAIN SCI;10.1017/S0140525X14001356;283;40,4286;16,3035
LAKOBA TI, 2005, SIMUL-T SOC MOD SIM;10.1177/0037549705052772;240;13,3333;4,5366
LAMBIOTTE R, 2008, PHYSICA A;10.1016/j.physa.2008.05.014;239;15,9333;5,8776
RAND W, 2011, INT J RES MARK;10.1016/j.ijresmar.2011.04.002;238;19,8333;7,2897
KURZBAN R, 2005, P NATL ACAD SCI USA;10.1073/pnas.0408759102;235;13,0556;4,4421
EL-NASR MS, 2000, AUTON AGENT MULTI-AG;10.1023/A:1010030809960;233;10,1304;7,1830
ZUO ZY, 2014, INT J CONTROL;10.1080/00207179.2013.834484;233;25,8889;11,0851
FRISTON KJ, 2012, FRONT PSYCHOL;10.3389/fpsyg.2012.00151;230;20,9091;8,2822
MICELLI F, 2004, CONSTR BUILD MATER;10.1016/j.conbuildmat.2004.04.012;220;11,5789;5,1163
CASEY DE, 2003, PSYCHOPHARMACOLOGY;10.1007/s00213-002-1344-3;218;10,9000;4,6815
YANG P, 2008, IEEE T AUTOMAT CONTR;10.1109/TAC.2008.2006925;211;14,0667;5,1890
SU HS, 2010, SYST CONTROL LETT;10.1016/j.sysconle.2010.03.006;205;15,7692;7,5747
