Cited References;DOI;Citations
WATTS DJ, 1998, NATURE, V393, P440;10.1038/30918;155
OLFATI-SABER R, 2004, IEEE T AUTOMAT CONTR, V49, P1520;10.1109/TAC.2004.834113;144
BARABASI AL, 1999, SCIENCE, V286, P509;10.1126/SCIENCE.286.5439.509;140
CASTELLANO C, 2009, REV MOD PHYS, V81, P591;10.1103/REVMODPHYS.81.591;109
VICSEK T, 1995, PHYS REV LETT, V75, P1226;10.1103/PHYSREVLETT.75.1226;109
REYNOLDS C., 1987, SIGGRAPH COMPUT GRAP, V21, P25;10.1145/37402.37406;105
BONABEAU E, 2002, P NATL ACAD SCI USA, V99, P7280;10.1073/PNAS.082080899;101
HEGSELMANN R, 2002, JASSS-J ARTIF SOC S, V5;;100
GRIMM V, 2010, ECOL MODEL, V221, P2760;10.1016/J.ECOLMODEL.2010.08.019;96
REN W, 2005, IEEE T AUTOMAT CONTR, V50, P655;10.1109/TAC.2005.846556;95
JADBABAIE A, 2003, IEEE T AUTOMAT CONTR, V48, P988;10.1109/TAC.2003.812781;86
DEFFUANT G, 2000, APPLICATIONS OF SIMULATION TO SOCIAL SCIENCES, P87;10.1142/S0219525900000078;83
WILENSKY U., 1999, NETLOGO;;82
GRIMM V, 2006, ECOL MODEL, V198, P115;10.1016/J.ECOLMODEL.2006.04.023;75
EPSTEIN J.M., 1996, GROWING ARTIFICIAL S;;73
OLFATI-SABER R, 2006, IEEE T AUTOMAT CONTR, V51, P401;10.1109/TAC.2005.864190;73
HELBING D, 2000, NATURE, V407, P487;10.1038/35035023;72
DIMAROGONAS DV, 2012, IEEE T AUTOMAT CONTR, V57, P1291;10.1109/TAC.2011.2174666;71
OLFATI-SABER R, 2007, P IEEE, V95, P215;10.1109/JPROC.2006.887293;66
SZNAJD-WERON K, 2000, INT J MOD PHYS C, V11, P1157;10.1142/S0129183100000936;65
SUTTON RICHARD S., 2011, REINFORCEMENT LEARNI;;64
MCPHERSON M, 2001, ANNU REV SOCIOL, V27, P415;10.1146/ANNUREV.SOC.27.1.415;62
HELBING D, 1995, PHYS REV E, V51, P4282;10.1103/PHYSREVE.51.4282;60
ALBERT R, 2002, REV MOD PHYS, V74, P47;10.1103/REVMODPHYS.74.47;56
AXELROD R, 1997, J CONFLICT RESOLUT, V41, P203;10.1177/0022002797041002001;55
