Element;h_index;g_index;m_index;TC;NP;PY_start
AARON E;1;1;0,045;33;1;2001
ABAD R;1;1;0,111;7;1;2014
ABAID N;2;2;0,182;43;2;2012
ABBAS SMA;1;1;0,100;8;1;2013
ABBASI MA;1;1;0,250;6;1;2019
ABBASI Y;1;1;0,167;21;1;2017
ABBES B;1;1;0,167;4;1;2017
ABBES F;1;1;0,167;4;1;2017
ABBEY A;2;2;0,400;20;2;2018
ABBOTT RG;1;1;0,059;66;1;2006
ABDELHAMEED AS;1;1;0,125;7;1;2015
ABDELOUADOUD SY;1;1;0,333;3;1;2020
ABDI Y;1;1;0,333;1;1;2020
ABDULGHAFOR R;1;1;0,200;7;1;2018
ABDULKARIM YI;1;1;0,333;5;1;2020
ABDULLAH MM;1;1;0,063;10;1;2007
ABECASSIS MM;1;1;0,042;51;1;1999
ABEDI V;1;1;0,125;13;1;2015
ABEDINI H;1;1;0,077;3;1;2010
ABEL D;1;1;0,083;17;1;2011
ABEL K;1;1;0,500;8;1;2021
ABELEDO-LAMEIRO MJ;1;1;0,200;9;1;2018
ABELER-DORNER L;1;1;0,500;6;1;2021
ABENOJAR EC;1;1;0,500;5;1;2021
ABERLE C;1;1;0,200;18;1;2018
ABERNETHY NF;1;1;0,250;2;1;2019
ABIDI MG;1;1;0,167;17;1;2017
ABIDI MH;1;1;0,143;8;1;2016
ABOU TARA M;1;1;0,077;66;1;2010
ABOU ZEID HA;1;1;0,111;30;1;2014
ABOUELELA M;1;1;0,200;8;1;2018
ABRAHAM D;1;1;0,250;1;1;2019
ABRAMSON G;2;2;0,100;49;2;2003
ABRANTES LM;1;1;0,059;26;1;2006
ABREU O;1;1;0,333;2;1;2020
ABU MARIA K;1;1;0,063;29;1;2007
ABU ZITAR R;1;1;0,063;29;1;2007
ABUEG M;1;1;0,500;6;1;2021
ACCHAR W;1;1;0,059;39;1;2006
ACEBAL P;1;1;0,167;9;1;2017
ACEDO L;1;1;0,111;7;1;2014
ACIKMESE B;1;1;0,125;24;1;2015
ADAIR C;1;1;0,143;21;1;2016
ADAM C;1;1;0,167;7;1;2017
ADAM NR;1;1;0,167;17;1;2017
ADAMS AJ;1;1;0,333;8;1;2020
ADAMS H;1;2;0,333;9;2;2020
ADAMS J;1;1;0,100;53;1;2013
ADAMS JW;1;1;0,250;3;1;2019
ADAMS KF;1;1;0,031;10;1;1991
ADAMS R;1;1;0,091;181;1;2012
ADAMS RA;2;2;0,182;244;2;2012
ADELT F;1;1;0,111;3;2;2014
ADGER WN;1;1;0,333;1;1;2020
ADI Y;1;1;0,063;46;1;2007
ADIA N;1;1;0,333;1;1;2020
ADJALI I;1;1;0,077;26;1;2010
ADLOO H;2;2;0,500;15;2;2019
ADVANI SG;1;1;0,056;8;1;2005
AERTS JM;1;1;0,250;4;1;2019
AFSHAR A;1;1;0,083;5;1;2011
AFSHAR M;1;1;0,111;18;1;2014
AFZAAL A;1;1;0,333;2;1;2020
AGAH A;1;1;0,038;16;1;1997
AGARWALA S;1;1;0,043;21;1;2000
AGASSANT JF;1;1;0,125;33;1;2015
AGATHOPOULOS S;1;1;0,091;52;1;2012
AGER A;3;3;0,333;189;3;2014
AGER AA;1;1;0,167;37;1;2017
AGHCHAI MH;1;1;0,500;4;1;2021
AGLIARI E;2;2;0,118;46;2;2006
AGRAWAL A;1;1;0,059;87;1;2006
AGRAWAL LM;1;1;0,067;23;1;2008
AGRAWAL M;1;1;0,067;23;1;2008
AGRESTA M;1;1;0,111;5;1;2014
AGUIAR P;1;1;0,111;74;1;2014
AGUILERA M;1;1;0,125;7;1;2015
AGUIRREGABIRIA V;1;1;0,077;128;1;2010
AHLQVIST O;1;1;0,091;8;1;2012
AHLSTROM H;1;1;0,071;37;1;2009
AHMAD I;1;1;0,250;6;1;2019
AHMAD M;1;1;0,111;6;1;2014
AHMAD S;1;1;0,143;88;1;2016
AHMADABADI MN;1;1;0,200;1;1;2018
AHMADY AE;1;1;0,143;3;1;2016
AHMED II;1;1;0,083;24;1;2011
AHMED K;1;1;0,333;30;1;2020
AHMED S;1;1;0,125;19;1;2015
AHN C;1;1;0,045;35;1;2001
AHN CW;1;1;0,143;14;1;2016
AHN HS;2;2;0,250;10;2;2015
AHN RMC;1;1;0,071;12;1;2009
AHN S;2;2;0,200;49;2;2013
AHRWEILER P;1;1;0,167;8;1;2017
AI Y;1;1;0,200;7;1;2018
AICKELIN U;1;1;0,091;4;1;2012
AKAI N;1;1;0,333;6;1;2020
AKAOTSU S;2;2;0,400;5;2;2018
AKGOL O;1;1;0,333;5;1;2020
AKIMOTO Y;1;1;0,111;2;1;2014
AKNINE S;1;1;0,333;1;1;2020
AKRAM M;1;1;0,067;23;1;2008
AKRAM T;1;1;0,250;6;1;2019
AKROUF S;1;1;0,200;5;1;2018
AKYOL E;1;1;0,333;1;1;2020
AL DAOUR I;1;1;0,200;27;1;2018
AL JAHWARI F;1;1;0,143;3;1;2016
AL NAJJAR N;1;1;0,333;2;1;2020
AL-ANKARI AR;1;1;0,045;12;1;2001
AL-BADRIYEH D;1;1;0,100;7;1;2013
AL-FHAID AS;1;1;0,143;4;1;2016
AL-NAKHLI A;1;1;0,500;1;1;2021
AL-SAADI AA;1;1;0,125;7;1;2015
AL-SAGGAF UM;1;1;0,200;13;1;2018
AL-SAYED S;1;1;0,167;22;1;2017
AL-SHAIKHLI I;1;1;0,200;7;1;2018
AL-TABBAA A;1;1;0,200;18;1;2018
ALAGIRUSAMY R;1;1;0,143;88;1;2016
ALAM M;1;1;0,125;13;1;2015
ALAM MN;1;1;0,042;123;1;1999
ALAM S;1;1;0,111;27;1;2014
ALAM SJ;1;1;0,077;4;1;2010
ALAM SL;1;1;0,056;5;1;2005
ALBANO EV;1;1;0,091;4;1;2012
ALBERT ND;1;1;0,071;17;1;2009
ALBERT SM;1;1;0,100;65;1;2013
ALBERTI M;1;1;0,100;44;1;2013
ALBERTOS P;1;1;0,250;8;1;2019
ALBERTS JB;1;1;0,071;10;1;2009
ALBERTS S;1;1;0,091;7;1;2012
ALBI G;3;3;0,375;106;3;2015
ALBOIM C;1;1;0,111;10;1;2014
ALBUQUERQUE EX;1;1;0,034;45;1;1994
ALCARAZ A;1;1;0,143;4;1;2016
ALCEA A;1;1;0,333;2;1;2020
ALDEN K;2;2;0,200;69;2;2013
ALEMAN D;1;1;0,100;25;1;2013
ALENCAR CD;1;1;0,333;1;1;2020
ALESON R;1;1;0,063;6;1;2007
ALESSANDRI K;1;1;0,250;20;1;2019
ALESSIO AM;1;1;0,167;3;1;2017
ALEXANDRIDIS K;1;1;0,091;10;1;2012
ALEXANDROV LB;1;1;0,071;1;1;2009
ALEXANDROVA S;1;1;0,071;1;1;2009
ALEXANIAN M;1;1;0,200;4;1;2018
ALEXOPOULOS AH;1;1;0,111;27;1;2014
ALFA AS;1;1;0,071;38;1;2009
ALFARANO S;1;1;0,063;37;1;2007
ALGAR SD;1;1;0,250;1;1;2019
ALGHAMRI R;1;1;0,200;18;1;2018
ALHAJYASEEN WKM;1;1;0,500;2;1;2021
ALHOTHALI A;1;1;0,143;27;1;2016
ALI A;1;2;0,143;24;2;2016
ALI AH;1;1;0,333;2;1;2020
ALI MW;1;1;0,050;218;1;2003
ALI SM;1;1;0,333;4;1;2020
ALIMOHAMMADI A;1;1;0,143;14;1;2016
ALISHAVANDI AM;2;2;0,500;12;2;2019
ALJAWAD MS;1;1;0,500;1;1;2021
ALKEMADE F;1;1;0,250;11;1;2019
ALLEN DS;1;1;0,038;2;1;1997
ALLEN M;1;1;0,500;19;1;2021
ALLEN NS;1;1;0,053;10;1;2004
ALLEN-PRINCE M;1;1;0,167;7;1;2017
ALLGOWER F;1;1;0,125;65;1;2015
ALMEIDA A;1;1;0,083;32;1;2011
ALMEIDA R;1;1;0,500;2;1;2021
ALMUKDAD A;1;1;0,500;2;1;2021
ALOTAIBI R;1;1;0,500;3;1;2021
ALOUD M;1;1;0,167;11;1;2017
ALP B;1;1;0,125;7;1;2015
ALQURASHI R;1;1;0,250;2;1;2019
ALSAADI FE;1;1;0,200;23;1;2018
ALSOFI AM;1;1;0,077;27;1;2010
ALSULAIMAN T;1;1;0,143;10;1;2016
ALTALHI AH;1;1;0,333;4;1;2020
ALTARABSHEH A;1;1;0,250;1;1;2019
ALTAWEEL M;1;1;0,125;6;1;2015
ALTINKEMER K;1;1;0,083;9;1;2011
ALTMAN N;1;1;0,059;111;1;2006
ALTMAN T;1;1;0,250;2;1;2019
ALTSHULER D;1;1;0,200;18;1;2018
ALVARES-DA-SILVA MR;1;1;0,111;10;1;2014
ALVAREZ JI;1;1;0,333;8;1;2020
ALVAREZ L;1;1;0,038;2;1;1997
ALVAREZ-PEREIRA B;1;1;0,250;5;1;2019
ALVARI H;1;1;0,100;15;1;2013
ALVEAR D;1;1;0,333;2;1;2020
ALVES EB;1;1;0,333;1;1;2020
ALVES LBG;1;1;0,333;1;1;2020
ALZAHRANI B;1;1;0,500;3;1;2021
AMALLAH L;1;1;0,167;3;1;2017
AMANO RS;1;1;0,167;6;1;2017
AMARAL LAN;1;1;0,100;4;1;2013
AMARAL MA;1;1;0,200;48;1;2018
AMASYALI K;1;1;0,333;5;1;2020
AMAZEEN PG;1;1;0,200;10;1;2018
AMBER;1;1;0,111;6;1;2014
AMBLARD F;1;1;0,167;3;1;2017
AMICO G;1;1;0,200;12;1;2018
AMIGONI F;1;1;0,200;11;1;2018
AMIN E;1;1;0,200;8;1;2018
AMINI M;1;1;0,143;13;1;2016
AMIR-ATEFI K;1;1;0,043;57;1;2000
AMIRKHANIAN SN;1;1;0,091;12;1;2012
AMORETTI M;1;1;0,200;2;1;2018
AMORIM MA;1;1;0,125;11;1;2015
AN B;1;1;0,143;5;1;2016
AN G;2;2;0,182;16;2;2012
AN H;1;1;0,167;11;1;2017
AN KA;1;1;0,091;12;1;2012
AN XM;1;1;0,333;2;1;2020
ANAND N;1;1;0,143;19;1;2016
ANAND S;1;1;0,167;3;1;2017
ANBARCI N;1;1;0,125;12;1;2015
ANCARANI A;1;1;0,250;7;1;2019
ANDANI ME;1;1;0,071;9;1;2009
ANDELFINGER P;1;1;0,333;2;1;2020
ANDERIES JM;1;1;0,143;12;1;2016
ANDERLINI P;1;1;0,143;8;1;2016
ANDERSEN MS;1;1;0,250;8;1;2019
ANDERSON BDO;1;1;0,250;22;1;2019
ANDERSON HV;1;1;0,045;35;1;2001
ANDERSON JJ;1;1;0,059;18;1;2006
ANDERSON K;1;1;0,143;22;1;2016
ANDINO R;1;1;0,500;1;1;2021
ANDO M;1;1;0,125;18;1;2015
ANDREADIS I;1;1;0,083;21;1;2011
ANDREATTA P;1;1;0,125;2;1;2015
ANDRES O;1;1;0,071;9;1;2009
ANDREWS PS;4;4;0,364;118;4;2012
ANDREWS SS;1;1;0,125;38;1;2015
ANDRIDGE RR;1;1;0,111;9;1;2014
ANDRIGHETTO G;2;2;0,154;16;2;2010
ANDRONACHE V;1;1;0,053;36;1;2004
ANDRY P;1;1;0,100;14;1;2013
ANESI V;1;1;0,100;2;1;2013
ANGELINE PJ;1;1;0,042;40;1;1999
ANGELOUDIS P;1;1;0,167;8;1;2017
ANGELSEN B;1;1;0,125;5;1;2015
ANGUS SD;1;1;0,125;13;1;2015
ANJUM F;1;1;0,333;2;1;2020
ANNALAND MV;1;1;0,077;39;1;2010
ANNASWAMY AM;1;1;0,500;4;1;2021
ANSETH JW;1;1;0,045;67;1;2001
ANTA AF;1;1;0,100;1;1;2013
ANTENEODO C;2;2;0,182;48;2;2012
ANTHIAS C;1;1;0,143;8;1;2016
ANTOCI A;2;2;0,333;8;2;2017
ANTONAKIS J;1;1;0,111;63;1;2014
ANTONIONI A;2;3;0,286;52;3;2016
ANTONOPOULOS CG;1;1;0,200;10;1;2018
ANTOSZ P;1;1;0,333;1;1;2020
ANTUNES L;1;1;0,100;15;1;2013
ANUAR NB;1;1;0,111;31;1;2014
ANUFRIEV M;1;1;0,333;3;1;2020
ANUGRAHA R;1;1;0,333;3;1;2020
ANUMBA CJ;1;1;0,250;36;1;2019
ANVARI B;1;1;0,125;68;1;2015
ANWAR SM;1;1;0,077;18;1;2010
AOKI H;2;2;0,400;5;2;2018
AOTANI T;1;1;0,500;2;1;2021
AOYAMA H;1;1;0,063;3;1;2007
APAK R;1;1;0,053;48;1;2004
APOLLONIO C;1;1;0,100;34;1;2013
APPLETON RE;1;1;0,333;2;1;2020
AQUINO T;1;1;0,125;1;1;2015
ARAABI BN;1;1;0,200;1;1;2018
ARADILLAS-LOPEZ A;1;1;0,083;6;1;2011
ARAH OA;1;1;0,111;40;1;2014
ARAMI A;1;1;0,500;1;1;2021
ARANDA E;1;1;0,200;36;1;2018
ARANDA JS;1;1;0,067;1;1;2008
ARANGO S;1;1;0,143;1;1;2016
ARAUJO D;1;1;0,111;74;1;2014
ARAUJO JLN;1;1;0,333;2;2;2020
ARAUJO L;1;1;0,077;147;1;2010
ARAUJO T;1;1;0,250;1;1;2019
ARAYA N;1;1;0,250;1;1;2019
ARAZ OM;1;1;0,125;10;1;2015
ARBABI V;1;1;0,143;16;1;2016
ARBANAS B;1;1;0,333;1;1;2020
ARBELOA FJS;1;1;0,167;1;1;2017
ARBILLY M;1;1;0,111;10;1;2014
ARCADIPANE L;1;1;0,200;10;1;2018
ARDEKANI AM;1;1;0,100;13;1;2013
AREFIN MR;1;1;0,250;25;1;2019
ARELLANO-DELGADO A;1;1;0,200;5;1;2018
ARENAS A;1;1;0,091;15;1;2012
ARENTZE T;2;2;0,182;22;2;2012
ARENTZE TA;1;1;0,100;1;1;2013
ARES-MAZAS E;1;1;0,200;9;1;2018
ARGENTIERO A;1;1;0,143;4;1;2016
ARGILA A;1;1;0,125;10;1;2015
ARGYRES C;1;1;0,333;1;1;2020
ARIEL G;1;1;0,111;17;1;2014
ARIYAMA T;4;4;0,308;60;4;2010
ARJONA-SANCHEZ A;1;1;0,200;36;1;2018
ARJUN B;1;1;0,067;2;1;2008
ARKIN RC;1;1;0,038;24;1;1997
ARMBRUSTER B;1;1;0,125;6;1;2015
ARMBRUSTER D;2;2;0,333;7;2;2017
ARMES SP;1;1;0,059;164;1;2006
ARMONDES BML;1;1;0,063;10;1;2007
ARNALDEZ FI;1;1;0,500;7;1;2021
ARNOLD HM;1;1;0,100;39;1;2013
ARNTZEN E;1;1;0,333;3;1;2020
AROKIASAMI WA;1;1;0,200;1;1;2018
ARORA MK;1;1;0,077;7;1;2010
AROUCA FO;1;1;0,333;3;1;2020
ARPALI E;1;1;0,167;1;1;2017
ARROYO J;2;2;0,154;27;2;2010
ARROYO M;1;1;0,050;14;1;2003
ARSLAN I;1;1;0,143;2;1;2016
ARTHUR WB;1;1;0,042;358;1;1999
ARTIGES E;1;1;0,250;2;1;2019
ASABELLA AN;1;1;0,125;28;1;2015
ASADA H;1;1;0,077;13;1;2010
ASADPOUR-ZEYNALI K;1;1;0,143;11;1;2016
ASCHWANDEN GDPA;1;1;0,083;14;1;2011
ASCOLANI G;1;1;0,333;2;1;2020
ASGARI A;1;1;0,143;4;1;2016
ASHRAF M;1;1;0,250;6;1;2019
ASHRAF MW;1;1;0,167;6;1;2017
ASKARISICHANI O;1;1;0,125;32;1;2015
ASSEID BS;1;1;0,083;34;1;2011
ASSI TM;1;1;0,077;70;1;2010
ATIGHEHCHIAN A;1;1;0,071;26;1;2009
ATINC GM;1;1;0,111;21;1;2014
ATKISSON C;1;1;0,333;1;1;2020
ATMAN APF;1;1;0,091;7;1;2012
ATTIA MI;1;1;0,125;7;1;2015
AUBAN JB;1;1;0,125;26;1;2015
AUER JC;1;1;0,083;94;1;2011
AUER K;1;1;0,045;2;1;2001
AUERSPERG AMI;1;1;0,143;23;1;2016
AUFFENBERG F;1;1;0,200;7;1;2018
AUKEMA BH;1;1;0,067;19;1;2008
AURANEN K;1;1;0,091;7;1;2012
AUSBAND DE;1;1;1,000;1;1;2022
AVEN B;1;1;0,500;1;1;2021
AVITABILE D;1;1;0,111;6;1;2014
AVORN J;1;1;0,056;128;1;2005
AWAD A;1;1;0,250;2;1;2019
AWL HN;1;1;0,333;5;1;2020
AXEL AC;1;1;0,045;88;1;2001
AXHAUSEN KW;3;3;0,214;73;3;2009
AYALA-CABRERA D;1;1;0,143;3;1;2016
AYALI A;1;1;0,111;17;1;2014
AYDINER E;1;1;0,200;4;1;2018
AYDOGDU A;1;1;0,167;2;1;2017
AYMERICH F;1;1;0,059;17;1;2006
AYOUNI M;1;1;0,333;1;1;2020
AZAELE S;1;1;0,250;8;1;2019
AZARBAYJANI AF;1;1;0,143;11;1;2016
AZEVEDO F;1;1;0,167;11;1;2017
AZEVEDO GMS;1;1;0,083;69;1;2011
AZIMI M;1;1;0,083;20;1;2011
AZIMI P;1;1;0,125;29;1;2015
AZIZI M;1;1;0,083;10;1;2011
AZNAR F;1;1;0,200;7;1;2018
AZOULAY R;1;1;0,111;2;1;2014
AZUMA S;1;1;0,111;12;1;2014
AZUSHIMA A;2;2;0,125;34;2;2007
BABADAGLI T;1;1;0,250;2;1;2019
BABCOCK RC;1;1;0,111;9;1;2014
BABICH A;1;1;0,111;8;1;2014
BABRAM MA;1;1;0,200;7;1;2018
BABUSHOK V;1;1;0,143;17;1;2016
BACH RVW;1;1;0,250;14;1;2019
BACHELET DM;1;1;0,125;26;1;2015
BACHER-STIER C;1;1;0,071;37;1;2009
BACK I;1;1;0,059;11;1;2006
BACK J;1;1;0,125;3;2;2015
BADER A;1;1;0,200;16;1;2018
BADLER NI;2;3;0,182;11;3;2012
BADRICK T;1;1;0,333;3;1;2020
BAE JW;1;1;0,125;4;1;2015
BAER GA;1;1;0,043;2;1;2000
BAFAS GV;1;1;0,077;12;1;2010
BAGNALL AJ;1;1;0,056;50;1;2005
BAGNOLI F;2;3;0,133;18;3;2008
BAHAR S;2;2;0,133;17;2;2008
BAHBOUHI JE;1;1;0,250;6;1;2019
BAHRAMI F;1;1;0,071;9;1;2009
BAI B;1;1;0,111;9;1;2014
BAI C;1;1;0,167;47;1;2017
BAI F;1;1;0,143;3;1;2016
BAI H;1;1;0,333;5;1;2020
BAI JH;1;1;0,250;4;1;2019
BAI P;1;1;0,200;54;1;2018
