SO;Rank;Freq;cumFreq;Zone
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION;1;134;134;Zone 1
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS;2;114;248;Zone 1
PLOS ONE;3;95;343;Zone 1
PHYSICAL REVIEW E;4;63;406;Zone 1
IEEE ACCESS;5;55;461;Zone 1
SCIENTIFIC REPORTS;6;37;498;Zone 1
PLOS COMPUTATIONAL BIOLOGY;7;31;529;Zone 1
COMPLEXITY;8;28;557;Zone 1
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT;9;27;584;Zone 1
ECOLOGICAL MODELLING;10;26;610;Zone 1
NEUROCOMPUTING;11;26;636;Zone 1
IEEE TRANSACTIONS ON AUTOMATIC CONTROL;12;25;661;Zone 1
INTERNATIONAL JOURNAL OF MODERN PHYSICS C;13;25;686;Zone 1
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS;14;23;709;Zone 1
JOURNAL OF THEORETICAL BIOLOGY;15;23;732;Zone 1
SIMULATION MODELLING PRACTICE AND THEORY;16;23;755;Zone 1
ADAPTIVE BEHAVIOR;17;22;777;Zone 1
INTERNATIONAL JOURNAL OF CONTROL;18;22;799;Zone 1
INFORMATION SCIENCES;19;21;820;Zone 1
JOURNAL OF ECONOMIC DYNAMICS & CONTROL;20;21;841;Zone 1
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY;21;20;861;Zone 1
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION;22;20;881;Zone 1
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;23;20;901;Zone 1
IET CONTROL THEORY AND APPLICATIONS;24;19;920;Zone 1
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL;25;19;939;Zone 1
CHAOS SOLITONS & FRACTALS;26;18;957;Zone 1
ENVIRONMENTAL MODELLING & SOFTWARE;27;18;975;Zone 1
IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS;28;18;993;Zone 1
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS;29;18;1011;Zone 1
JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS;30;18;1029;Zone 1
COMPUTATIONAL ECONOMICS;31;17;1046;Zone 1
EXPERT SYSTEMS WITH APPLICATIONS;32;17;1063;Zone 1
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES;33;17;1080;Zone 1
AUTOMATICA;34;16;1096;Zone 1
CONSTRUCTION AND BUILDING MATERIALS;35;16;1112;Zone 1
FRONTIERS IN PSYCHOLOGY;36;16;1128;Zone 1
IEEE TRANSACTIONS ON CYBERNETICS;37;16;1144;Zone 1
JOURNAL OF ECONOMIC INTERACTION AND COORDINATION;38;16;1160;Zone 1
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL;39;16;1176;Zone 2
SUSTAINABILITY;40;16;1192;Zone 2
EUROPEAN PHYSICAL JOURNAL B;41;15;1207;Zone 2
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE;42;15;1222;Zone 2
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;43;15;1237;Zone 2
