Element;h_index;g_index;m_index;TC;NP;PY_start
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS;20;34;0,952;1468;96;2002
PHYSICAL REVIEW E;20;36;0,833;1402;54;1999
PLOS ONE;19;32;1,267;1339;89;2008
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION;18;31;0,818;1380;120;2001
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;16;20;0,842;1063;20;2004
ENVIRONMENTAL MODELLING & SOFTWARE;15;17;0,750;1041;17;2003
IEEE TRANSACTIONS ON AUTOMATIC CONTROL;15;24;1,000;2073;24;2008
ECOLOGICAL MODELLING;14;21;0,500;478;24;1995
JOURNAL OF ECONOMIC DYNAMICS & CONTROL;14;18;0,519;1112;18;1996
TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES;14;17;1,556;647;17;2014
INTERNATIONAL JOURNAL OF CONTROL;13;22;0,929;957;22;2009
PLOS COMPUTATIONAL BIOLOGY;13;23;0,722;787;23;2005
AUTOMATICA;11;14;0,733;739;14;2008
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS;11;21;0,478;633;21;2000
CONSTRUCTION AND BUILDING MATERIALS;11;15;0,579;488;15;2004
NEUROCOMPUTING;11;18;0,733;355;22;2008
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS;10;13;0,769;315;13;2010
EXPERT SYSTEMS WITH APPLICATIONS;10;15;0,476;310;15;2002
IEEE ACCESS;10;14;1,429;272;39;2016
IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS;10;16;1,000;430;16;2013
IET CONTROL THEORY AND APPLICATIONS;10;18;0,769;502;18;2010
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL;10;16;0,909;360;16;2012
JOURNAL OF APPLIED POLYMER SCIENCE;10;13;0,323;218;13;1992
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION;10;14;0,370;229;18;1996
JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT;10;14;0,667;253;24;2008
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;10;14;0,667;212;14;2008
JOURNAL OF THEORETICAL BIOLOGY;10;18;0,357;334;23;1995
MACROMOLECULES;10;12;0,370;840;12;1996
SCIENTIFIC REPORTS;10;16;1,111;303;28;2014
SIMULATION MODELLING PRACTICE AND THEORY;10;18;0,476;329;20;2002
