Paper;DOI;Total Citations;TC per Year;Normalized TC
CROSON R, 2009, J ECON LIT;10.1257/jel.47.2.448;2369;157.93;45.05
SZABO G, 2007, PHYS REP;10.1016/j.physrep.2007.04.004;2013;118.41;39.45
OSTROM E, 1998, AM POLIT SCI REV;10.2307/2585925;1596;61.38;8.62
KOGUT B, 1996, ORGAN SCI;10.1287/orsc.7.5.502;1571;56.11;14.16
NOWAK MA, 1998, NATURE;10.1038/31225;1529;58.81;8.26
YAMAGISHI T, 1994, MOTIV EMOTION;10.1007/BF02249397;1192;39.73;9.80
SZABO G, 1998, PHYS REV E;10.1103/PhysRevE.58.69;1086;41.77;5.87
FALK A, 2006, GAME ECON BEHAV;10.1016/j.geb.2005.03.001;1083;60.17;19.70
HAUERT C, 2004, NATURE;10.1038/nature02360;1061;53.05;13.38
OSTROM E, 1992, AM POLIT SCI REV;10.2307/1964229;1039;32.47;9.25
NOWAK M, 1993, NATURE;10.1038/364056a0;1022;32.97;7.04
MCCULLOUGH ME, 1998, J PERS SOC PSYCHOL;10.1037/0022-3514.75.6.1586;1022;39.31;5.52
ANDREONI J, 2002, ECONOMETRICA;10.1111/1468-0262.00302;803;36.50;10.32
PERC M, 2017, PHYS REP;10.1016/j.physrep.2017.05.004;801;114.43;41.28
FEHR E, 2002, HUM NATURE-INT BIOS;10.1007/s12110-002-1012-7;656;29.82;8.43
STOKES SC, 2005, AM POLIT SCI REV;10.1017/S0003055405051683;629;33.11;9.76
SALLY D, 1995, RATION SOC;10.1177/1043463195007001004;612;21.10;8.01
FISCHBACHER U, 2010, AM ECON REV;10.1257/aer.100.1.541;607;43.36;17.65
DOEBELI M, 2005, ECOL LETT;10.1111/j.1461-0248.2005.00773.x;562;29.58;8.72
HENRICH J, 2004, J ECON BEHAV ORGAN;10.1016/S0167-2681(03)00094-5;528;26.40;6.66
ROCA CP, 2009, PHYS LIFE REV;10.1016/j.plrev.2009.08.001;525;35.00;9.98
SZABO G, 2005, PHYS REV E;10.1103/PhysRevE.72.047107;393;20.68;6.10
KESER C, 2000, SCAND J ECON;10.1111/1467-9442.00182;375;15.63;6.24
TRAULSEN A, 2006, PHYS REV E;10.1103/PhysRevE.74.011909;359;19.94;6.53
