"Element","h_index","g_index","m_index","TC","NP","PY_start"
"NOWAK MA","23","32","0.742","7741","32","1992"
"HILBE C","15","18","1.071","869","18","2009"
"RAND DG","15","17","1.071","1142","17","2009"
"SIGMUND K","12","12","0.364","3198","12","1990"
"FUDENBERG D","11","13","0.579","1564","13","2004"
"RILLING JK","11","11","0.524","1892","11","2002"
"PERC M","10","12","0.625","819","12","2007"
"RACHLIN H","9","11","0.375","354","11","1999"
"TABORSKY M","9","13","0.500","372","13","2005"
"DUGATKIN LA","8","8","0.250","512","8","1991"
