"Element","h_index","g_index","m_index","TC","NP","PY_start"
"NOWAK MA","23","32","0.742","7741","32","1992"
"HILBE C","15","18","1.071","869","18","2009"
"RAND DG","15","17","1.071","1142","17","2009"
"FUDENBERG D","11","13","0.579","1564","13","2004"
"TABORSKY M","9","13","0.500","372","13","2005"
"ALONSO-SANZ R","7","13","0.350","178","13","2003"
"SIGMUND K","12","12","0.364","3198","12","1990"
"PERC M","10","12","0.625","819","12","2007"
"WANG L","6","12","0.500","193","12","2011"
"RILLING JK","11","11","0.524","1892","11","2002"
