"Element","h_index","g_index","m_index","TC","NP","PY_start"
"NOWAK MA","23","32","0.742","7741","32","1992"
"SIGMUND K","12","12","0.364","3198","12","1990"
"MAY RM","2","2","0.065","2984","2","1992"
"RILLING JK","11","11","0.524","1892","11","2002"
"PAGNONI G","6","6","0.286","1602","6","2002"
"FUDENBERG D","11","13","0.579","1564","13","2004"
"RAND DG","15","17","1.071","1142","17","2009"
"KREPS DM","1","1","0.024","1115","1","1982"
"MILGROM P","1","1","0.024","1115","1","1982"
"ROBERTS J","1","1","0.024","1115","1","1982"
