"Element","h_index","g_index","m_index","TC","NP","PY_start"
"THULKE HH","3","3","0.167","1381","3","2005"
"BERGER U","3","5","0.167","1363","5","2005"
"DEANGELIS DL","2","3","0.111","1345","3","2005"
"GRIMM V","1","1","0.056","1339","1","2005"
"JELTSCH F","1","1","0.056","1339","1","2005"
"MOOIJ WM","1","1","0.056","1339","1","2005"
"RAILSBACK SF","1","1","0.056","1339","1","2005"
"REVILLA E","1","1","0.056","1339","1","2005"
"WEINER J","1","1","0.056","1339","1","2005"
"WIEGAND T","1","1","0.056","1339","1","2005"
