"From","To","Frequency"
"CHINA","AUSTRALIA","6"
"CHINA","AUSTRIA","1"
"CHINA","BELGIUM","1"
"CHINA","CANADA","9"
"CHINA","COLOMBIA","1"
"CHINA","ECUADOR","1"
"CHINA","FRANCE","1"
"CHINA","GERMANY","1"
"CHINA","GHANA","1"
"CHINA","INDIA","4"
"CHINA","INDONESIA","1"
"CHINA","IRAN","2"
"CHINA","IRELAND","1"
"CHINA","ITALY","4"
"CHINA","JAPAN","5"
"CHINA","JORDAN","1"
"CHINA","KAZAKHSTAN","1"
"CHINA","KOREA","2"
"CHINA","KUWAIT","1"
"CHINA","LUXEMBOURG","1"
"CHINA","MALAYSIA","3"
"CHINA","MOROCCO","1"
"CHINA","NETHERLANDS","3"
"CHINA","NEW ZEALAND","1"
"CHINA","NIGERIA","1"
"CHINA","OMAN","1"
"CHINA","PAKISTAN","14"
"CHINA","PERU","1"
"CHINA","PHILIPPINES","1"
"CHINA","ROMANIA","2"
"CHINA","RUSSIA","1"
"CHINA","SAUDI ARABIA","8"
"CHINA","SINGAPORE","1"
"CHINA","SOUTH AFRICA","1"
"CHINA","SPAIN","1"
"CHINA","SWEDEN","2"
"CHINA","TANZANIA","1"
"CHINA","THAILAND","4"
"CHINA","TURKEY","7"
"CHINA","U ARAB EMIRATES","2"
"CHINA","UNITED KINGDOM","10"
