"From","To","Frequency"
"CHINA","JAPAN","5"
"FRANCE","ITALY","5"
"FRANCE","SOUTH AFRICA","5"
"PAKISTAN","THAILAND","5"
"SAUDI ARABIA","TURKEY","5"
"UNITED KINGDOM","CANADA","5"
"UNITED KINGDOM","INDIA","5"
"USA","COLOMBIA","5"
"USA","DENMARK","5"
"USA","GREECE","5"
"USA","PERU","5"
"CHINA","AUSTRALIA","6"
"SAUDI ARABIA","EGYPT","6"
"UNITED KINGDOM","FRANCE","6"
"USA","BELGIUM","6"
"USA","GERMANY","6"
"USA","SWEDEN","6"
"USA","THAILAND","6"
"CHINA","TURKEY","7"
"SOUTH AFRICA","CAMEROON","7"
"UNITED KINGDOM","ITALY","7"
"USA","AUSTRALIA","7"
"USA","MEXICO","7"
"CHINA","SAUDI ARABIA","8"
"PAKISTAN","TURKEY","8"
"USA","NETHERLANDS","8"
"USA","SPAIN","8"
"CHINA","CANADA","9"
"CHINA","UNITED KINGDOM","10"
"USA","SWITZERLAND","10"
"PAKISTAN","SAUDI ARABIA","11"
"UNITED KINGDOM","GERMANY","11"
"USA","CANADA","13"
"USA","SOUTH AFRICA","13"
"CHINA","PAKISTAN","14"
"USA","INDIA","15"
"USA","ITALY","15"
"USA","FRANCE","18"
"USA","CHINA","23"
"USA","UNITED KINGDOM","42"
