"From","To","Frequency"
"USA","AUSTRALIA","7"
"USA","AUSTRIA","3"
"USA","BANGLADESH","3"
"USA","BELGIUM","6"
"USA","BOTSWANA","1"
"USA","BRAZIL","3"
"USA","BURKINA FASO","1"
"USA","CANADA","13"
"USA","CHINA","23"
"USA","COLOMBIA","5"
"USA","CYPRUS","1"
"USA","DENMARK","5"
"USA","ECUADOR","1"
"USA","EGYPT","3"
"USA","FRANCE","18"
"USA","GERMANY","6"
"USA","GREECE","5"
"USA","INDIA","15"
"USA","IRAN","2"
"USA","IRELAND","2"
"USA","ISRAEL","1"
"USA","ITALY","15"
"USA","JAPAN","3"
"USA","JORDAN","1"
"USA","KENYA","1"
"USA","KOREA","4"
"USA","MALAWI","1"
"USA","MALAYSIA","1"
"USA","MAURITANIA","1"
"USA","MEXICO","7"
"USA","NEPAL","2"
"USA","NETHERLANDS","8"
"USA","NEW ZEALAND","4"
"USA","NIGERIA","2"
"USA","PAKISTAN","1"
"USA","PERU","5"
"USA","PORTUGAL","1"
"USA","RUSSIA","2"
"USA","SAUDI ARABIA","2"
"USA","SENEGAL","1"
"USA","SIERRA LEONE","1"
"USA","SINGAPORE","2"
"USA","SOUTH AFRICA","13"
"USA","SPAIN","8"
"USA","SWEDEN","6"
"USA","SWITZERLAND","10"
"USA","TANZANIA","1"
"USA","THAILAND","6"
"USA","TURKEY","1"
"USA","UGANDA","4"
"USA","UNITED KINGDOM","42"
"USA","VENEZUELA","1"
"USA","ZAMBIA","1"
