,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,virus_letal_chance,Infected,Susceptible,Resistant,Dead,Stable
0,0,0,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,3,7,0,1
1,1,0,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,3,4,3,1
2,2,0,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,4,1,5,1
3,3,0,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,3,3,4,1
4,4,0,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,0,3,7,1
5,5,0,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,1,2,7,1
6,6,0,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,6,4,1
7,7,0,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,1,4,5,1
8,8,0,70,10,3,1,0.4,0.4,0.3,0.5,0.8,0,1,2,7,1
9,9,0,70,10,3,1,0.4,0.4,0.3,0.5,0.9,0,0,0,10,1
10,10,0,70,10,3,1,0.4,0.4,0.3,0.5,1.0,0,9,0,1,1
11,11,1,70,10,3,1,0.4,0.4,0.3,0.5,0.0,0,1,9,0,1
12,12,1,70,10,3,1,0.4,0.4,0.3,0.5,0.1,0,3,5,2,1
13,13,1,70,10,3,1,0.4,0.4,0.3,0.5,0.2,0,1,4,5,1
14,14,1,70,10,3,1,0.4,0.4,0.3,0.5,0.30000000000000004,0,1,3,6,1
15,15,1,70,10,3,1,0.4,0.4,0.3,0.5,0.4,0,2,1,7,1
16,16,1,70,10,3,1,0.4,0.4,0.3,0.5,0.5,0,5,2,3,1
17,17,1,70,10,3,1,0.4,0.4,0.3,0.5,0.6000000000000001,0,0,2,8,1
18,18,1,70,10,3,1,0.4,0.4,0.3,0.5,0.7000000000000001,0,3,2,5,1
