,RunId,iteration,Step,width,height,density,minority_pc,homophily,happy,qty_agents,happy_pctg
0,0,0,32,40,40,0.1,0.1,1,154,155,99
1,1,0,519,40,40,0.1,0.1,2,170,171,99
2,2,0,800,40,40,0.1,0.1,3,154,169,91
3,8,0,28,40,40,0.1,0.30000000000000004,1,139,140,99
4,9,0,114,40,40,0.1,0.30000000000000004,2,174,175,99
5,5,0,800,40,40,0.1,0.1,6,0,147,0
6,3,0,800,40,40,0.1,0.1,4,0,150,1
7,4,0,800,40,40,0.1,0.1,5,0,171,1
8,6,0,800,40,40,0.1,0.1,7,0,180,0
9,10,0,697,40,40,0.1,0.30000000000000004,3,159,160,99
10,7,0,800,40,40,0.1,0.1,8,0,178,0
11,16,0,11,40,40,0.1,0.5000000000000001,1,164,165,99
12,17,0,74,40,40,0.1,0.5000000000000001,2,195,196,99
13,12,0,800,40,40,0.1,0.30000000000000004,5,0,151,1
14,11,0,800,40,40,0.1,0.30000000000000004,4,0,159,1
15,18,0,372,40,40,0.1,0.5000000000000001,3,153,154,99
16,13,0,800,40,40,0.1,0.30000000000000004,6,0,162,0
17,14,0,800,40,40,0.1,0.30000000000000004,7,0,162,0
18,15,0,800,40,40,0.1,0.30000000000000004,8,0,166,0
19,24,0,20,40,40,0.1,0.7000000000000001,1,148,149,99
20,25,0,181,40,40,0.1,0.7000000000000001,2,148,149,99
21,20,0,800,40,40,0.1,0.5000000000000001,5,0,145,1
22,21,0,800,40,40,0.1,0.5000000000000001,6,0,152,0
23,26,0,586,40,40,0.1,0.7000000000000001,3,159,160,99
24,19,0,800,40,40,0.1,0.5000000000000001,4,0,173,1
25,22,0,800,40,40,0.1,0.5000000000000001,7,0,164,0
26,23,0,800,40,40,0.1,0.5000000000000001,8,0,162,0
27,32,0,198,40,40,0.1,0.9000000000000001,1,166,167,99
28,33,0,415,40,40,0.1,0.9000000000000001,2,150,151,99
29,27,0,800,40,40,0.1,0.7000000000000001,4,0,160,1
30,29,0,800,40,40,0.1,0.7000000000000001,6,0,151,0
31,30,0,800,40,40,0.1,0.7000000000000001,7,0,159,0
32,28,0,800,40,40,0.1,0.7000000000000001,5,0,175,1
33,31,0,800,40,40,0.1,0.7000000000000001,8,0,150,0
34,34,0,800,40,40,0.1,0.9000000000000001,3,138,150,92
35,40,0,30,40,40,0.30000000000000004,0.1,1,468,469,100
36,41,0,146,40,40,0.30000000000000004,0.1,2,473,474,100
37,35,0,800,40,40,0.1,0.9000000000000001,4,0,153,1
38,37,0,800,40,40,0.1,0.9000000000000001,6,0,155,1
39,39,0,800,40,40,0.1,0.9000000000000001,8,0,139,0
40,36,0,800,40,40,0.1,0.9000000000000001,5,0,173,1
41,38,0,800,40,40,0.1,0.9000000000000001,7,0,146,0
42,42,0,668,40,40,0.30000000000000004,0.1,3,477,478,100
43,48,0,7,40,40,0.30000000000000004,0.30000000000000004,1,455,456,100
44,49,0,38,40,40,0.30000000000000004,0.30000000000000004,2,495,496,100
45,50,0,211,40,40,0.30000000000000004,0.30000000000000004,3,479,480,100
46,43,0,800,40,40,0.30000000000000004,0.1,4,461,503,92
