,RunId,iteration,Step,defect_multiplier,width,height,schedule_type,payoffs,seed,Cooperating,Defecting
0,0,0,100,0,50,50,Random,,,2496,4
1,1,0,100,1,50,50,Random,,,0,2500
2,2,0,100,2,50,50,Random,,,0,2500
3,3,0,100,3,50,50,Random,,,0,2500
4,4,0,100,4,50,50,Random,,,0,2500
5,5,0,100,5,50,50,Random,,,0,2500
6,6,0,100,6,50,50,Random,,,0,2500
7,7,0,100,7,50,50,Random,,,0,2500
8,8,0,100,8,50,50,Random,,,0,2500
9,9,0,100,9,50,50,Random,,,0,2500
10,10,0,100,10,50,50,Random,,,0,2500
11,11,0,100,11,50,50,Random,,,0,2500
12,12,0,100,12,50,50,Random,,,0,2500
13,13,0,100,13,50,50,Random,,,0,2500
14,14,0,100,14,50,50,Random,,,0,2500
15,15,0,100,15,50,50,Random,,,0,2500
16,16,0,100,16,50,50,Random,,,0,2500
17,17,0,100,17,50,50,Random,,,0,2500
18,18,0,100,18,50,50,Random,,,0,2500
19,19,0,100,19,50,50,Random,,,0,2500
20,20,1,100,0,50,50,Random,,,2494,6
21,21,1,100,1,50,50,Random,,,0,2500
22,22,1,100,2,50,50,Random,,,0,2500
23,23,1,100,3,50,50,Random,,,0,2500
24,24,1,100,4,50,50,Random,,,0,2500
25,25,1,100,5,50,50,Random,,,0,2500
26,26,1,100,6,50,50,Random,,,0,2500
27,27,1,100,7,50,50,Random,,,0,2500
28,28,1,100,8,50,50,Random,,,0,2500
29,29,1,100,9,50,50,Random,,,0,2500
30,30,1,100,10,50,50,Random,,,0,2500
31,31,1,100,11,50,50,Random,,,0,2500
32,32,1,100,12,50,50,Random,,,0,2500
33,33,1,100,13,50,50,Random,,,0,2500
34,34,1,100,14,50,50,Random,,,0,2500
35,35,1,100,15,50,50,Random,,,0,2500
36,36,1,100,16,50,50,Random,,,0,2500
37,37,1,100,17,50,50,Random,,,0,2500
38,38,1,100,18,50,50,Random,,,0,2500
39,39,1,100,19,50,50,Random,,,0,2500
40,40,2,100,0,50,50,Random,,,2443,57
41,41,2,100,1,50,50,Random,,,0,2500
42,42,2,100,2,50,50,Random,,,0,2500
43,43,2,100,3,50,50,Random,,,0,2500
44,44,2,100,4,50,50,Random,,,0,2500
45,45,2,100,5,50,50,Random,,,0,2500
46,46,2,100,6,50,50,Random,,,0,2500
47,47,2,100,7,50,50,Random,,,0,2500
48,48,2,100,8,50,50,Random,,,0,2500
49,49,2,100,9,50,50,Random,,,0,2500
50,50,2,100,10,50,50,Random,,,0,2500
51,51,2,100,11,50,50,Random,,,0,2500
52,52,2,100,12,50,50,Random,,,0,2500
53,53,2,100,13,50,50,Random,,,0,2500
54,54,2,100,14,50,50,Random,,,0,2500
55,55,2,100,15,50,50,Random,,,0,2500
56,56,2,100,16,50,50,Random,,,0,2500
57,57,2,100,17,50,50,Random,,,0,2500
58,58,2,100,18,50,50,Random,,,0,2500
59,59,2,100,19,50,50,Random,,,0,2500
60,60,3,100,0,50,50,Random,,,2482,18
61,61,3,100,1,50,50,Random,,,2381,119
62,62,3,100,2,50,50,Random,,,0,2500
63,63,3,100,3,50,50,Random,,,0,2500
64,64,3,100,4,50,50,Random,,,0,2500
65,65,3,100,5,50,50,Random,,,0,2500
66,66,3,100,6,50,50,Random,,,0,2500
67,67,3,100,7,50,50,Random,,,0,2500
68,68,3,100,8,50,50,Random,,,0,2500
69,69,3,100,9,50,50,Random,,,0,2500
70,70,3,100,10,50,50,Random,,,0,2500
71,71,3,100,11,50,50,Random,,,0,2500
72,72,3,100,12,50,50,Random,,,0,2500
73,73,3,100,13,50,50,Random,,,0,2500
74,74,3,100,14,50,50,Random,,,0,2500
75,75,3,100,15,50,50,Random,,,0,2500
76,76,3,100,16,50,50,Random,,,0,2500
77,77,3,100,17,50,50,Random,,,0,2500
78,78,3,100,18,50,50,Random,,,0,2500
79,79,3,100,19,50,50,Random,,,0,2500
80,80,4,100,0,50,50,Random,,,2496,4
81,81,4,100,1,50,50,Random,,,2354,146
82,82,4,100,2,50,50,Random,,,0,2500
83,83,4,100,3,50,50,Random,,,0,2500
84,84,4,100,4,50,50,Random,,,0,2500
85,85,4,100,5,50,50,Random,,,0,2500
86,86,4,100,6,50,50,Random,,,0,2500
87,87,4,100,7,50,50,Random,,,0,2500
88,88,4,100,8,50,50,Random,,,0,2500
89,89,4,100,9,50,50,Random,,,0,2500
90,90,4,100,10,50,50,Random,,,0,2500
91,91,4,100,11,50,50,Random,,,0,2500
92,92,4,100,12,50,50,Random,,,0,2500
93,93,4,100,13,50,50,Random,,,0,2500
94,94,4,100,14,50,50,Random,,,0,2500
95,95,4,100,15,50,50,Random,,,0,2500
96,96,4,100,16,50,50,Random,,,0,2500
97,97,4,100,17,50,50,Random,,,0,2500
98,98,4,100,18,50,50,Random,,,0,2500
99,99,4,100,19,50,50,Random,,,0,2500
100,100,5,100,0,50,50,Random,,,2500,0
101,101,5,100,1,50,50,Random,,,2308,192
102,102,5,100,2,50,50,Random,,,0,2500
103,103,5,100,3,50,50,Random,,,0,2500
104,104,5,100,4,50,50,Random,,,0,2500
105,105,5,100,5,50,50,Random,,,0,2500
106,106,5,100,6,50,50,Random,,,0,2500
107,107,5,100,7,50,50,Random,,,0,2500
108,108,5,100,8,50,50,Random,,,0,2500
109,109,5,100,9,50,50,Random,,,0,2500
110,110,5,100,10,50,50,Random,,,0,2500
111,111,5,100,11,50,50,Random,,,0,2500
112,112,5,100,12,50,50,Random,,,0,2500
113,113,5,100,13,50,50,Random,,,0,2500
114,114,5,100,14,50,50,Random,,,0,2500
115,115,5,100,15,50,50,Random,,,0,2500
116,116,5,100,16,50,50,Random,,,0,2500
117,117,5,100,17,50,50,Random,,,0,2500
118,118,5,100,18,50,50,Random,,,0,2500
119,119,5,100,19,50,50,Random,,,0,2500
120,120,6,100,0,50,50,Random,,,2466,34
121,121,6,100,1,50,50,Random,,,2367,133
122,122,6,100,2,50,50,Random,,,0,2500
123,123,6,100,3,50,50,Random,,,0,2500
124,124,6,100,4,50,50,Random,,,0,2500
125,125,6,100,5,50,50,Random,,,0,2500
126,126,6,100,6,50,50,Random,,,0,2500
127,127,6,100,7,50,50,Random,,,0,2500
128,128,6,100,8,50,50,Random,,,0,2500
129,129,6,100,9,50,50,Random,,,0,2500
130,130,6,100,10,50,50,Random,,,0,2500
131,131,6,100,11,50,50,Random,,,0,2500
132,132,6,100,12,50,50,Random,,,0,2500
133,133,6,100,13,50,50,Random,,,0,2500
134,134,6,100,14,50,50,Random,,,0,2500
135,135,6,100,15,50,50,Random,,,0,2500
136,136,6,100,16,50,50,Random,,,0,2500
137,137,6,100,17,50,50,Random,,,0,2500
138,138,6,100,18,50,50,Random,,,0,2500
139,139,6,100,19,50,50,Random,,,0,2500
140,140,7,100,0,50,50,Random,,,2469,31
141,141,7,100,1,50,50,Random,,,0,2500
142,142,7,100,2,50,50,Random,,,0,2500
143,143,7,100,3,50,50,Random,,,0,2500
144,144,7,100,4,50,50,Random,,,0,2500
145,145,7,100,5,50,50,Random,,,0,2500
146,146,7,100,6,50,50,Random,,,0,2500
147,147,7,100,7,50,50,Random,,,0,2500
148,148,7,100,8,50,50,Random,,,0,2500
149,149,7,100,9,50,50,Random,,,0,2500
150,150,7,100,10,50,50,Random,,,0,2500
151,151,7,100,11,50,50,Random,,,0,2500
152,152,7,100,12,50,50,Random,,,0,2500
153,153,7,100,13,50,50,Random,,,0,2500
154,154,7,100,14,50,50,Random,,,0,2500
155,155,7,100,15,50,50,Random,,,0,2500
156,156,7,100,16,50,50,Random,,,0,2500
157,157,7,100,17,50,50,Random,,,0,2500
158,158,7,100,18,50,50,Random,,,0,2500
159,159,7,100,19,50,50,Random,,,0,2500
160,160,8,100,0,50,50,Random,,,2474,26
161,161,8,100,1,50,50,Random,,,2380,120
162,162,8,100,2,50,50,Random,,,0,2500
163,163,8,100,3,50,50,Random,,,1355,1145
164,164,8,100,4,50,50,Random,,,0,2500
165,165,8,100,5,50,50,Random,,,0,2500
166,166,8,100,6,50,50,Random,,,0,2500
167,167,8,100,7,50,50,Random,,,0,2500
168,168,8,100,8,50,50,Random,,,0,2500
169,169,8,100,9,50,50,Random,,,0,2500
170,170,8,100,10,50,50,Random,,,0,2500
171,171,8,100,11,50,50,Random,,,0,2500
172,172,8,100,12,50,50,Random,,,0,2500
173,173,8,100,13,50,50,Random,,,0,2500
174,174,8,100,14,50,50,Random,,,0,2500
175,175,8,100,15,50,50,Random,,,0,2500
176,176,8,100,16,50,50,Random,,,0,2500
