,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,cannibalism_threshold,wolf_gain_from_cannibalism,Wolves,Sheep,Grass,Cannibalism Occurrences,Steps till Wolf Extinction
0,0,0,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,16,81
1,1,1,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,19,94
2,2,2,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,11,118
3,3,3,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,10208,0,9,88
4,4,4,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,95
5,5,5,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,4,96
6,6,6,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,9,83
7,7,7,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,16,89
8,8,8,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,17,77
9,9,9,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,12,97
10,10,10,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,8,111
11,11,11,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,89
12,12,12,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,5,77
13,13,13,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,20742,0,12,97
14,14,14,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,88
15,15,15,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,8,81
16,16,16,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,123
17,17,17,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,10,79
18,18,18,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,11,81
19,19,19,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,66662,0,10,87
20,20,20,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,16,78
21,21,21,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,26278,0,14,120
22,22,22,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,7122,0,7,115
23,23,23,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,40133,0,8,96
24,24,24,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,10,92
25,25,25,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,12,113
26,26,26,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,99
27,27,27,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,7,87
28,28,28,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,14,102
29,29,29,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,7,95
30,30,30,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,9,81
31,31,31,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,98
32,32,32,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,50243,0,11,83
33,33,33,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,12,113
34,34,34,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,9,74
35,35,35,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,92
36,36,36,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,14,100
37,37,37,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,33468,0,13,96
38,38,38,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,18,88
39,39,39,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,9,97
40,40,40,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,12,100
41,41,41,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,24468,0,10,115
42,42,42,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,12,85
43,43,43,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,10,87
44,44,44,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,17,0,0,30,300
45,45,45,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,19,78
46,46,46,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,258,0,0,44,300
47,47,47,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,29584,0,13,107
48,48,48,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,10,89
49,49,49,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,20534,0,19,102
50,50,50,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,3622,0,15,109
51,51,51,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,93
52,52,52,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,95
53,53,53,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,11,98
54,54,54,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,10,88
55,55,55,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,14081,0,16,102
56,56,56,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,91
57,57,57,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,158
58,58,58,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,7332,0,18,97
59,59,59,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,14,93
60,60,60,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,17,98
61,61,61,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,11,81
62,62,62,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,94
63,63,63,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,90
64,64,64,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,11,78
65,65,65,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,88
66,66,66,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,95,0,0,66,300
67,67,67,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,15,97
68,68,68,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,13,83
69,69,69,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,7103,0,14,82
70,70,70,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,39081,0,14,95
71,71,71,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,10,93
72,72,72,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,34168,0,23,96
73,73,73,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,14,106
74,74,74,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,14,85
75,75,75,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,13661,0,13,84
76,76,76,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,1025,0,15,91
77,77,77,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,11,102
78,78,78,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,0,0,8,83
79,79,79,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,5163,0,8,147
80,80,80,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,4588,0,10,91
81,81,81,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,14518,0,16,95
82,82,82,300,20,20,100,50,0.04,0.05,20,False,30,4,2,10,0,12674,0,12,90
