,RunId,iteration,Step,width,height,initial_sheep,initial_wolves,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,cannibalism_threshold,wolf_gain_from_cannibalism,Wolves,Sheep,Grass,Cannibalism Occurrences,Steps till Wolf Extinction
0,0,0,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,94
1,1,1,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,15613,0,0,113
2,2,2,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,91
3,3,3,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,103
4,4,4,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,110
5,5,5,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,23315,0,0,67
6,6,6,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,66
7,7,7,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,50,0,0,0,300
8,8,8,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,100
9,9,9,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,125
10,10,10,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,8684,0,0,103
11,11,11,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,107
12,12,12,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,774,0,0,114
13,13,13,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,97
14,14,14,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,82433,0,0,106
15,15,15,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,73
16,16,16,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,101
17,17,17,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,83
18,18,18,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,18989,0,0,116
19,19,19,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,77
20,20,20,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,116
21,21,21,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,88
22,22,22,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,88
23,23,23,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,349,0,0,113
24,24,24,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,94
25,25,25,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,92
26,26,26,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,41250,0,0,90
27,27,27,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,89
28,28,28,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,3418,0,0,88
29,29,29,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,91
30,30,30,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,110
31,31,31,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,87
32,32,32,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,5635,0,0,80
33,33,33,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,107
34,34,34,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,115
35,35,35,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,95
36,36,36,300,20,20,100,50,0.04,0.05,20,False,30,4,-1,10,0,0,0,0,104
