,RunId,iteration,Step,num_nodes,avg_node_degree,initial_outbreak_size,virus_spread_chance,virus_check_frequency,recovery_chance,gain_resistance_chance,mortality_chance,Infected,Susceptible,Resistant,Dead,Alive,CMR
0,0,0,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,10,6,34,16,0.68
1,1,0,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,20,2,28,22,0.56
2,2,0,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,33,3,14,36,0.28
3,3,0,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,42,0,8,42,0.16
4,4,0,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,45,0,5,45,0.1
5,5,0,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,23,1,26,24,0.52
6,6,0,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,45,0,5,45,0.1
7,7,0,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,35,0,15,35,0.3
8,8,0,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
9,9,0,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
10,10,1,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,9,6,35,15,0.7
11,11,1,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,42,3,5,45,0.1
12,12,1,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,11,1,38,12,0.76
13,13,1,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,26,2,22,28,0.44
14,14,1,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,43,0,7,43,0.14
15,15,1,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,39,2,9,41,0.18
16,16,1,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,44,0,6,44,0.12
17,17,1,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,45,0,5,45,0.1
18,18,1,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
19,19,1,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
20,20,2,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,18,4,28,22,0.56
21,21,2,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,12,4,34,16,0.68
22,22,2,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,23,1,26,24,0.52
23,23,2,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,45,0,5,45,0.1
24,24,2,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,44,0,6,44,0.12
25,25,2,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,41,0,9,41,0.18
26,26,2,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,44,0,6,44,0.12
27,27,2,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,46,0,4,46,0.08
28,28,2,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
29,29,2,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
30,30,3,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,8,5,37,13,0.74
31,31,3,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,13,5,32,18,0.64
32,32,3,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,19,0,31,19,0.62
33,33,3,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,33,1,16,34,0.32
34,34,3,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,43,0,7,43,0.14
35,35,3,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,40,0,10,40,0.2
36,36,3,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,38,0,12,38,0.24
37,37,3,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,43,0,7,43,0.14
38,38,3,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
39,39,3,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
40,40,4,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,12,9,29,21,0.58
41,41,4,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,13,1,36,14,0.72
42,42,4,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,39,1,10,40,0.2
43,43,4,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,30,1,19,31,0.38
44,44,4,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,38,2,10,40,0.2
45,45,4,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,43,0,7,43,0.14
46,46,4,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,44,0,6,44,0.12
47,47,4,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,44,0,6,44,0.12
48,48,4,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,44,0,6,44,0.12
49,49,4,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
50,50,5,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,8,12,30,20,0.6
51,51,5,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,12,3,35,15,0.7
52,52,5,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,36,1,13,37,0.26
53,53,5,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,37,0,13,37,0.26
54,54,5,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,44,0,6,44,0.12
55,55,5,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,46,0,4,46,0.08
56,56,5,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,42,0,8,42,0.16
57,57,5,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,45,0,5,45,0.1
58,58,5,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
59,59,5,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
60,60,6,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,15,10,25,25,0.5
61,61,6,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,17,5,28,22,0.56
62,62,6,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,23,1,26,24,0.52
63,63,6,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,29,2,19,31,0.38
64,64,6,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,41,0,9,41,0.18
65,65,6,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,41,0,9,41,0.18
66,66,6,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,42,0,8,42,0.16
67,67,6,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,42,0,8,42,0.16
68,68,6,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,42,0,8,42,0.16
69,69,6,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
70,70,7,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,7,10,33,17,0.66
71,71,7,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,19,1,30,20,0.6
72,72,7,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,38,1,11,39,0.22
73,73,7,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,40,2,8,42,0.16
74,74,7,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,28,0,22,28,0.44
75,75,7,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,43,0,7,43,0.14
76,76,7,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,42,1,7,43,0.14
77,77,7,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,44,0,6,44,0.12
78,78,7,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,44,0,6,44,0.12
79,79,7,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
80,80,8,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,14,9,27,23,0.54
81,81,8,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,17,3,30,20,0.6
82,82,8,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,38,1,11,39,0.22
83,83,8,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,11,3,36,14,0.72
84,84,8,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,40,0,10,40,0.2
85,85,8,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,42,1,7,43,0.14
86,86,8,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,39,2,9,41,0.18
87,87,8,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,43,1,6,44,0.12
88,88,8,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,43,0,7,43,0.14
89,89,8,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
90,90,9,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,17,6,27,23,0.54
91,91,9,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,13,5,32,18,0.64
92,92,9,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,18,0,32,18,0.64
93,93,9,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,40,1,9,41,0.18
94,94,9,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,43,0,7,43,0.14
95,95,9,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,42,0,8,42,0.16
96,96,9,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,43,0,7,43,0.14
97,97,9,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,43,0,7,43,0.14
98,98,9,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
99,99,9,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
100,100,10,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,12,9,29,21,0.58
101,101,10,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,15,4,31,19,0.62
102,102,10,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,18,4,28,22,0.56
103,103,10,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,40,1,9,41,0.18
104,104,10,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,43,1,6,44,0.12
105,105,10,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,43,1,6,44,0.12
106,106,10,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,45,0,5,45,0.1
107,107,10,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,44,0,6,44,0.12
108,108,10,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,44,0,6,44,0.12
109,109,10,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
110,110,11,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,8,8,34,16,0.68
111,111,11,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,18,8,24,26,0.48
112,112,11,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,19,2,29,21,0.58
113,113,11,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,45,0,5,45,0.1
114,114,11,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,41,0,9,41,0.18
115,115,11,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,43,1,6,44,0.12
116,116,11,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,29,1,20,30,0.4
117,117,11,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,45,0,5,45,0.1
118,118,11,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,44,0,6,44,0.12
119,119,11,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
120,120,12,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,9,9,32,18,0.64
121,121,12,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,18,7,25,25,0.5
122,122,12,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,10,4,36,14,0.72
123,123,12,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,35,1,14,36,0.28
124,124,12,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,37,0,13,37,0.26
125,125,12,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,43,0,7,43,0.14
126,126,12,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,42,0,8,42,0.16
127,127,12,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,40,0,10,40,0.2
128,128,12,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
129,129,12,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
130,130,13,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,4,12,34,16,0.68
131,131,13,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,23,2,25,25,0.5
132,132,13,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,28,1,21,29,0.42
133,133,13,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,45,0,5,45,0.1
134,134,13,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,23,4,23,27,0.46
135,135,13,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,35,1,14,36,0.28
136,136,13,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,33,0,17,33,0.34
137,137,13,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,43,0,7,43,0.14
138,138,13,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,38,0,12,38,0.24
139,139,13,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
140,140,14,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,11,11,28,22,0.56
141,141,14,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,26,3,21,29,0.42
142,142,14,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,14,5,31,19,0.62
143,143,14,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,37,1,12,38,0.24
144,144,14,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,19,1,30,20,0.6
145,145,14,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,41,0,9,41,0.18
146,146,14,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,40,0,10,40,0.2
147,147,14,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,42,0,8,42,0.16
148,148,14,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,45,0,5,45,0.1
149,149,14,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
150,150,15,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,9,7,34,16,0.68
151,151,15,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,18,4,28,22,0.56
152,152,15,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,44,0,6,44,0.12
153,153,15,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,44,0,6,44,0.12
154,154,15,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,44,0,6,44,0.12
155,155,15,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,40,0,10,40,0.2
156,156,15,100,50,3,5,0.4,0.4,0.3,0.3,0.7000000000000001,0,43,0,7,43,0.14
157,157,15,100,50,3,5,0.4,0.4,0.3,0.3,0.8,0,44,0,6,44,0.12
158,158,15,100,50,3,5,0.4,0.4,0.3,0.3,0.9,0,44,0,6,44,0.12
159,159,15,100,50,3,5,0.4,0.4,0.3,0.3,1.0,0,45,0,5,45,0.1
160,160,16,100,50,3,5,0.4,0.4,0.3,0.3,0.1,0,8,9,33,17,0.66
161,161,16,100,50,3,5,0.4,0.4,0.3,0.3,0.2,0,38,0,12,38,0.24
162,162,16,100,50,3,5,0.4,0.4,0.3,0.3,0.30000000000000004,0,22,1,27,23,0.54
163,163,16,100,50,3,5,0.4,0.4,0.3,0.3,0.4,0,26,2,22,28,0.44
164,164,16,100,50,3,5,0.4,0.4,0.3,0.3,0.5,0,40,0,10,40,0.2
165,165,16,100,50,3,5,0.4,0.4,0.3,0.3,0.6,0,44,0,6,44,0.12
