,RunId,iteration,Step,width,height,density,health_percentage,Fine,On Fire,Burned Out,arvores_recuperaveis,arvores_irrecuperaveis
0,0,0,33,100,100,0.65,0.0,5,15,6436,0.07768800497203232,99.76711690731253
1,1,0,38,100,100,0.65,0.1,683,1,5827,11.721297408615069,68.52534562211981
2,2,0,43,100,100,0.65,0.2,1367,2,5199,26.293517984227737,37.541882424611636
3,3,0,60,100,100,0.65,0.30000000000000004,2474,13,3979,62.176426237748174,-15.016271501627152
4,4,0,30,100,100,0.65,0.4,5465,3,1018,536.8369351669941,-152.89217954650624
5,5,0,3,100,100,0.65,0.5,6383,1,145,4402.068965517241,-193.33639705882354
6,6,0,4,100,100,0.65,0.6000000000000001,6261,2,135,4637.777777777778,-193.66791744840526
7,7,0,3,100,100,0.65,0.7000000000000001,6400,1,104,6153.846153846154,-195.2029520295203
8,8,0,4,100,100,0.65,0.8,6448,1,89,7244.943820224719,-195.91555759522717
9,9,0,1,100,100,0.65,0.9,6414,2,67,9573.13432835821,-196.89862675513038
10,10,1,34,100,100,0.65,0.0,3,5,6608,0.04539951573849879,99.86386325820602
11,11,1,37,100,100,0.65,0.1,697,5,5715,12.195975503062117,67.38927011852776
12,12,1,45,100,100,0.65,0.2,1353,4,5216,25.93941717791411,38.20977317704369
13,13,1,54,100,100,0.65,0.30000000000000004,2248,1,4274,52.59709873654656,-3.403863845446182
14,14,1,48,100,100,0.65,0.4,5423,2,1046,518.451242829828,-151.49172978822074
15,15,1,11,100,100,0.65,0.5,6146,4,270,2276.296296296296,-187.37531172069825
16,16,1,4,100,100,0.65,0.6000000000000001,6319,1,138,4578.985507246377,-193.58835372463992
17,17,1,5,100,100,0.65,0.7000000000000001,6387,1,106,6025.471698113208,-195.1024179886031
18,18,1,2,100,100,0.65,0.8,6483,3,85,7627.058823529412,-196.11753958587087
19,19,1,1,100,100,0.65,0.9,6452,7,66,9775.757575757576,-196.96225836146058
20,20,2,32,100,100,0.65,0.0,6,12,6471,0.09272137227630968,99.72209356183419
21,21,2,38,100,100,0.65,0.1,663,3,5853,11.32752434648898,69.47513812154696
22,22,2,43,100,100,0.65,0.2,1403,1,5141,27.29041042598716,35.68154034229829
23,23,2,57,100,100,0.65,0.30000000000000004,2240,1,4326,51.7799352750809,-2.345415778251599
24,24,2,60,100,100,0.65,0.4,4495,7,2000,224.75,-107.62124711316396
25,25,2,12,100,100,0.65,0.5,6207,3,326,1903.9877300613498,-185.0298484616562
26,26,2,4,100,100,0.65,0.6000000000000001,6305,6,181,3483.4254143646413,-191.62812210915817
27,27,2,3,100,100,0.65,0.7000000000000001,6481,1,105,6172.380952380952,-195.21712723959914
28,28,2,2,100,100,0.65,0.8,6496,1,76,8547.368421052632,-196.53073645769933
29,29,2,0,100,100,0.65,0.9,6481,59,0,100.0,-200.0
30,30,3,34,100,100,0.65,0.0,8,2,6377,0.1254508389524855,99.62411902897415
31,31,3,37,100,100,0.65,0.1,644,7,5848,11.012311901504788,70.24029574861368
32,32,3,56,100,100,0.65,0.2,1372,1,5075,27.034482758620687,36.156351791530945
33,33,3,60,100,100,0.65,0.30000000000000004,2438,22,3996,61.01101101101101,-13.677339135840846
34,34,3,43,100,100,0.65,0.4,5674,1,811,699.6300863131935,-162.4826522744796
35,35,3,17,100,100,0.65,0.5,6221,1,278,2237.7697841726617,-187.16725650100014
36,36,3,5,100,100,0.65,0.6000000000000001,6384,1,145,4402.758620689655,-193.3374176749885
37,37,3,3,100,100,0.65,0.7000000000000001,6459,1,100,6459.0,-195.426132032322
38,38,3,2,100,100,0.65,0.8,6394,3,75,8525.333333333332,-196.52187355078067
39,39,3,1,100,100,0.65,0.9,6409,2,65,9860.0,-196.9879518072289
40,40,4,30,100,100,0.65,0.0,12,1,6544,0.18337408312958436,99.45088468578402
41,41,4,35,100,100,0.65,0.1,677,16,5806,11.660351360661386,68.67191115224433
42,42,4,46,100,100,0.65,0.2,1454,1,5005,29.05094905094905,32.46632605666512
43,43,4,60,100,100,0.65,0.30000000000000004,3048,2,3471,87.8133102852204,-40.2669121030833
44,44,4,24,100,100,0.65,0.4,5837,2,782,746.4194373401534,-164.5565795437377
45,45,4,20,100,100,0.65,0.5,6038,1,413,1461.9854721549636,-180.7936753991629
46,46,4,14,100,100,0.65,0.6000000000000001,6395,3,208,3074.5192307692305,-190.54975011358474
47,47,4,3,100,100,0.65,0.7000000000000001,6363,1,96,6628.125,-195.54110543427777
48,48,4,2,100,100,0.65,0.8,6393,4,78,8196.153846153848,-196.38386648122392
49,49,4,1,100,100,0.65,0.9,6462,3,64,10096.875,-197.05792215752376
50,50,5,34,100,100,0.65,0.0,6,1,6517,0.09206690194874942,99.72405334968573
51,51,5,36,100,100,0.65,0.1,653,5,5845,11.171941830624466,69.8522622345337
52,52,5,48,100,100,0.65,0.2,1371,1,5068,27.052091554853984,36.123621680385156
53,53,5,57,100,100,0.65,0.30000000000000004,2205,1,4280,51.518691588785046,-2.004626060138782
54,54,5,30,100,100,0.65,0.4,5895,2,667,883.8080959520241,-169.50624809509296
55,55,5,8,100,100,0.65,0.5,6267,3,189,3315.873015873016,-191.2174721189591
56,56,5,3,100,100,0.65,0.6000000000000001,6459,3,128,5046.09375,-194.17033550933658
57,57,5,4,100,100,0.65,0.7000000000000001,6395,1,112,5709.821428571428,-194.83633010603964
58,58,5,3,100,100,0.65,0.8,6358,1,91,6986.813186813187,-195.766785548147
59,59,5,0,100,100,0.65,0.9,6387,65,0,100.0,-200.0
60,60,6,35,100,100,0.65,0.0,1,1,6619,0.015108022359873092,99.95468277945619
61,61,6,40,100,100,0.65,0.1,689,5,5756,11.970118137595552,67.92862684251358
